date,open,high,low,close,volume
2012-10-11,0.11,0.15,0.1,0.1,8800.0
2012-10-12,0.11,0.15,0.1,0.1,0.0
2012-10-15,0.25,0.25,0.25,0.25,1000.0
2012-10-16,0.15,0.15,0.15,0.15,1000.0
2012-10-17,0.15,0.2,0.15,0.2,5700.0
2012-10-18,0.15,0.2,0.15,0.2,0.0
2012-10-19,0.15,0.2,0.15,0.2,0.0
2012-10-22,0.12,0.12,0.12,0.12,30000.0
2012-10-23,0.12,0.12,0.12,0.12,0.0
2012-10-24,0.12,0.12,0.12,0.12,0.0
2012-10-25,0.12,0.12,0.12,0.12,0.0
2012-10-26,0.19,0.19,0.19,0.19,100.0
2012-10-31,0.19,0.19,0.19,0.19,0.0
2012-11-01,0.19,0.19,0.19,0.19,0.0
2012-11-02,0.19,0.19,0.19,0.19,0.0
2012-11-05,0.19,0.19,0.19,0.19,0.0
2012-11-06,0.19,0.19,0.19,0.19,0.0
2012-11-07,0.19,0.19,0.19,0.19,0.0
2012-11-08,0.19,0.19,0.19,0.19,0.0
2012-11-09,0.2,0.2,0.2,0.2,10500.0
2012-11-12,0.2,0.22,0.2,0.22,60000.0
2012-11-13,0.22,0.24,0.22,0.24,7600.0
2012-11-14,0.23,0.23,0.23,0.23,5000.0
2012-11-15,0.23,0.23,0.23,0.23,0.0
2012-11-16,0.23,0.23,0.23,0.23,0.0
2012-11-19,0.25,0.25,0.25,0.25,1000.0
2012-11-20,0.25,0.25,0.25,0.25,5000.0
2012-11-21,0.25,0.25,0.25,0.25,0.0
2012-11-23,0.25,0.25,0.25,0.25,0.0
2012-11-26,0.25,0.25,0.25,0.25,0.0
2012-11-27,0.15,0.245,0.15,0.245,17500.0
2012-11-28,0.25,0.35,0.25,0.35,3000.0
2012-11-29,0.25,0.35,0.25,0.35,0.0
2012-11-30,0.3,0.4,0.3,0.4,6500.0
2012-12-03,0.15,0.3125,0.15,0.3125,9000.0
2012-12-04,0.15,0.3125,0.15,0.3125,0.0
2012-12-05,0.12,0.3,0.12,0.3,3000.0
2012-12-06,0.12,0.3,0.12,0.3,0.0
2012-12-07,0.12,0.28,0.12,0.15,14500.0
