date,open,high,low,close,volume
2019-02-11,7.1,7.1,5.05,5.05,800.0
2019-02-12,5.05,5.05,5.05,5.05,0.0
2019-02-13,5.1,5.1,5.1,5.1,472.0
2019-02-14,5.2,5.2,5.2,5.2,201.0
2019-02-15,5.2,5.2,5.2,5.2,115.0
2019-02-19,5.2,5.2,5.2,5.2,110.0
2019-02-20,5.2,5.2,5.2,5.2,193.0
2019-02-21,5.2,5.2,5.2,5.2,121.0
2019-02-22,5.2,5.2,5.2,5.2,100.0
2019-02-25,5.23,5.23,5.23,5.23,120.0
2019-02-26,5.18,5.18,5.18,5.18,120.0
2019-02-27,5.1,5.1,5.1,5.1,281.0
2019-02-28,5.13,5.13,5.13,5.13,100.0
2019-03-01,5.12,5.12,5.12,5.12,100.0
2019-03-04,5.2,5.2,5.05,5.05,266.0
2019-03-05,5.05,5.05,5.05,5.05,107.0
2019-03-06,5.05,5.05,5.05,5.05,110.0
2019-03-07,5.05,5.05,5.05,5.05,100.0
2019-03-08,5.0,5.0,5.0,5.0,514.0
2019-03-11,5.206,18.999,4.9,9.0,25076.0
2019-03-12,8.5,8.975,5.75,6.25,32734.0
2019-03-13,6.0,6.15,5.384,5.55,15284.0
2019-03-14,5.5,5.5,5.001,5.02,3300.0
2019-03-15,5.1656,5.7217,4.6001,5.0,31069.0
2019-03-18,5.0,5.0,4.12,4.5,17575.0
2019-03-19,4.24,4.2401,3.995,4.0605,4308.0
2019-03-20,4.1,4.209,4.1,4.1,2079.0
2019-03-21,4.65,5.414,4.35,4.75,33245.0
2019-03-22,4.8,4.977,4.3,4.59,16744.0
2019-03-25,4.74,5.48,4.5,4.9,86539.0
2019-03-26,4.797,10.57,4.54,10.15,2362112.0
2019-03-27,14.05,18.5,9.05,9.11,5364808.0
2019-03-28,7.55,8.613,6.03,6.34,565710.0
2019-03-29,6.65,6.784,5.36,5.47,171938.0
2019-04-01,5.42,5.8,4.61,5.26,86460.0
2019-04-02,5.27,7.73,5.26,5.96,2833778.0
2019-04-03,5.42,6.33,5.399,5.57,212187.0
2019-04-04,5.09,5.417,5.03,5.3,102701.0
2019-04-05,5.3,5.49,5.05,5.38,83105.0
2019-04-08,5.14,5.2,4.94,5.12,58663.0
2019-04-09,4.86,5.58,4.77,5.21,158820.0
2019-04-10,5.065,5.24,4.93,5.13,40874.0
2019-04-11,5.13,5.13,4.847,5.05,47684.0
2019-04-12,5.01,8.48,5.008,5.75,5597745.0
2019-04-15,5.32,5.562,5.01,5.38,290806.0
2019-04-16,5.2,5.85,5.13,5.59,224592.0
2019-04-17,5.5,5.682,5.174,5.42,126114.0
2019-04-18,5.31,5.8,5.22,5.27,94158.0
2019-04-22,5.2,5.446,5.0,5.2,54080.0
2019-04-23,5.25,5.41,5.15,5.24,62632.0
2019-04-24,5.11,5.73,5.11,5.46,110886.0
2019-04-25,5.37,5.8,5.25,5.69,168895.0
2019-04-26,5.83,7.21,5.8,6.4,711460.0
2019-04-29,6.16,6.976,6.07,6.73,162796.0
2019-04-30,6.8,6.91,6.2,6.47,137473.0
2019-05-01,6.42,6.517,5.96,6.24,105776.0
2019-05-02,6.16,6.28,5.8,5.8,78330.0
2019-05-03,5.9,6.2,5.664,5.9,121787.0
2019-05-06,5.63,5.78,5.52,5.62,47781.0
2019-05-07,5.68,5.68,5.51,5.65,25869.0
2019-05-08,5.53,6.05,5.51,5.7,59000.0
2019-05-09,5.62,5.757,5.16,5.32,72925.0
2019-05-10,5.18,5.356,5.13,5.21,48525.0
2019-05-13,5.15,5.226,5.06,5.13,30291.0
2019-05-14,5.14,5.48,5.14,5.2,50544.0
2019-05-15,5.34,5.69,5.2,5.55,60069.0
2019-05-16,5.5,5.88,5.37,5.49,55236.0
