date,open,high,low,close,volume
2023-01-20,5.71,6.75,3.83,4.12,1938781.0
2023-01-23,5.41,6.1,3.64,3.92,7060407.0
2023-01-24,3.4,3.6994,3.1109,3.2,1271264.0
2023-01-25,3.11,3.2,2.83,2.9,315475.0
2023-01-26,3.0,3.08,2.8,2.84,120383.0
2023-01-27,2.87,2.9008,2.6,2.62,117884.0
2023-01-30,2.62,2.67,2.53,2.57,119186.0
2023-01-31,2.53,2.8483,2.35,2.78,667069.0
2023-02-01,2.82,3.16,2.75,2.8293,907373.0
2023-02-02,2.81,2.8357,2.5401,2.57,203630.0
2023-02-03,2.48,2.4999,2.35,2.4,143081.0
2023-02-06,2.33,2.37,2.15,2.25,145568.0
2023-02-07,2.2,2.3037,2.1,2.16,70803.0
2023-02-08,2.1,2.17,1.9005,1.96,102017.0
2023-02-09,2.0,2.0,1.9,1.9166,65771.0
2023-02-10,1.86,2.0,1.83,1.99,111093.0
2023-02-13,2.0,2.0,1.87,1.98,60192.0
2023-02-14,1.92,2.15,1.91,2.12,118574.0
2023-02-15,2.09,2.2,2.08,2.16,35942.0
2023-02-16,2.06,2.3625,2.06,2.2,87330.0
2023-02-17,2.18,2.3,2.17,2.25,66570.0
2023-02-21,2.2501,2.37,2.1801,2.25,51408.0
2023-02-22,2.36,2.3767,2.15,2.2241,47484.0
2023-02-23,2.19,2.2699,2.16,2.245,23208.0
2023-02-24,2.2,2.2499,2.0427,2.106,77685.0
2023-02-27,2.16,2.16,2.0596,2.0596,8236.0
2023-02-28,2.15,2.15,1.96,1.99,24646.0
2023-03-01,2.04,2.04,1.7855,1.85,54530.0
2023-03-02,1.885,2.1,1.8,1.86,97588.0
2023-03-03,1.88,1.935,1.81,1.81,35506.0
2023-03-06,1.85,2.0,1.83,1.97,35455.0
2023-03-07,2.0,2.06,1.89,1.9,46705.0
2023-03-08,1.92,1.95,1.8,1.82,52460.0
2023-03-09,1.9499,1.9499,1.665,1.68,83052.0
2023-03-10,1.64,1.72,1.6,1.63,33105.0
2023-03-13,1.63,1.7,1.51,1.55,32959.0
2023-03-14,1.5601,1.6547,1.53,1.55,48995.0
2023-03-15,1.64,1.64,1.51,1.58,23692.0
2023-03-16,1.73,1.73,1.4201,1.492,63558.0
2023-03-17,1.47,1.58,1.43,1.43,49837.0
2023-03-20,1.4,1.4511,1.2001,1.2001,105449.0
2023-03-21,1.39,1.39,1.25,1.25,51524.0
2023-03-22,1.255,1.255,1.2,1.21,33256.0
2023-03-23,1.27,1.28,1.2124,1.25,27285.0
2023-03-24,1.27,1.33,1.22,1.25,13022.0
2023-03-27,1.33,1.33,1.22,1.28,17762.0
2023-03-28,1.29,1.37,1.28,1.37,50399.0
2023-03-29,1.4,1.4412,1.28,1.29,37465.0
2023-03-30,1.3097,1.48,1.28,1.4,267671.0
2023-03-31,1.49,1.49,1.34,1.41,64205.0
2023-04-03,1.35,1.42,1.35,1.42,17381.0
2023-04-04,1.4199,1.44,1.38,1.42,5142.0
2023-04-05,1.45,1.45,1.3,1.33,24181.0
2023-04-06,1.4188,1.5,1.35,1.44,48980.0
2023-04-10,1.4651,1.52,1.44,1.51,9252.0
2023-04-11,1.5,1.5,1.4,1.4038,25019.0
2023-04-12,1.5,1.5,1.4,1.41,33500.0
2023-04-13,1.49,1.49,1.41,1.43,5579.0
2023-04-14,1.45,1.45,1.36,1.36,16689.0
2023-04-17,1.41,1.4742,1.38,1.4742,16217.0
2023-04-18,1.45,1.75,1.45,1.54,111513.0
2023-04-19,1.6207,1.6492,1.53,1.64,34026.0
2023-04-20,1.6,1.635,1.54,1.54,21251.0
2023-04-21,1.58,1.8848,1.58,1.66,290523.0
2023-04-24,1.63,1.63,1.43,1.47,95536.0
2023-04-25,1.54,1.5695,1.36,1.4401,53731.0
2023-04-26,1.37,1.5052,1.37,1.45,39131.0
2023-04-27,1.5157,1.5627,1.46,1.49,27527.0
2023-04-28,1.58,1.58,1.23,1.34,82166.0
2023-05-01,1.3915,1.4199,1.3303,1.3833,7788.0
2023-05-02,1.39,1.39,1.26,1.285,29216.0
2023-05-03,1.3,1.3,1.22,1.22,33995.0
2023-05-04,1.21,1.35,1.21,1.32,22185.0
2023-05-05,1.3,1.4468,1.3,1.38,33122.0
2023-05-08,1.4499,1.4499,1.3103,1.42,19082.0
2023-05-09,1.39,1.4843,1.375,1.435,29307.0
2023-05-10,1.48,1.5199,1.44,1.47,13844.0
2023-05-11,1.4001,1.5831,1.4001,1.53,38070.0
2023-05-12,1.5512,1.5512,1.39,1.4,33458.0
2023-05-15,1.43,1.4793,1.37,1.41,15274.0
2023-05-16,1.42,1.5327,1.4,1.46,44203.0
2023-05-17,1.46,1.46,1.42,1.42,12046.0
2023-05-18,1.51,1.5101,1.44,1.44,12936.0
2023-05-19,1.5,1.5229,1.4201,1.4201,6349.0
2023-05-22,1.5,1.5599,1.3901,1.48,24827.0
2023-05-23,1.46,1.5999,1.41,1.53,10630.0
2023-05-24,1.46,1.5485,1.45,1.45,2176.0
2023-05-25,1.45,1.45,1.31,1.35,31779.0
2023-05-26,1.3603,1.45,1.36,1.39,15577.0
2023-05-30,1.45,1.57,1.35,1.36,9098.0
2023-05-31,1.39,1.48,1.36,1.42,17759.0
2023-06-01,1.38,1.5199,1.38,1.415,6541.0
2023-06-02,1.44,1.44,1.3301,1.37,24570.0
