date,open,high,low,close,volume
2025-11-06,0.36,2.0,0.3501,1.817,90795.0
2025-11-07,2.3,2.72,1.85,2.45,297859.0
2025-11-10,3.4,3.6466,2.75,3.63,101310.0
2025-11-11,3.6,5.0,3.1,4.5,113840.0
2025-11-12,4.55,4.57,3.02,3.26,103645.0
2025-11-13,3.01,4.5,3.01,4.47,145598.0
2025-11-14,3.5001,4.46,3.5001,4.05,109543.0
2025-11-17,3.91,4.99,3.83,4.91,111336.0
2025-11-18,4.35,4.7899,4.35,4.585,46157.0
2025-11-19,4.02,4.72,4.02,4.71,18299.0
2025-11-20,4.8,4.8,4.08,4.39,46145.0
2025-11-21,4.71,4.93,3.53,4.69,101974.0
2025-11-24,4.5,4.8,3.7901,4.8,68923.0
2025-11-25,4.23,4.61,3.76,4.0,45996.0
2025-11-26,3.96,4.3,3.81,4.1,34207.0
2025-11-28,3.83,4.21,3.7502,4.11,16415.0
2025-12-01,3.15,4.18,3.05,4.0,24100.0
2025-12-02,3.54,4.0,3.54,3.62,26674.0
