date,open,high,low,close,volume
2022-01-13,12.0,12.16,8.9,8.91,42085.0
2022-01-14,9.0,9.0,8.02,8.27,15176.0
2022-01-18,8.2439,8.4,8.15,8.15,19763.0
2022-01-19,8.1787,8.4588,8.15,8.16,2537.0
2022-01-20,8.17,8.17,7.13,7.26,19067.0
2022-01-21,7.5,8.35,7.425,8.35,13854.0
2022-01-24,8.0,8.87,8.0,8.22,38969.0
2022-01-25,8.2199,8.99,8.2,8.99,21408.0
2022-01-26,8.65,9.2,8.59,9.07,29046.0
2022-01-27,9.4,9.4,8.26,8.26,12926.0
2022-01-28,8.49,8.49,8.26,8.37,7236.0
2022-01-31,8.2735,8.4419,8.26,8.26,3475.0
2022-02-01,8.25,8.3479,8.06,8.17,16028.0
2022-02-02,8.11,8.7,8.11,8.7,4226.0
2022-02-03,8.8,8.9,8.6501,8.7622,4071.0
2022-02-04,8.64,8.64,8.28,8.45,6727.0
2022-02-07,8.4,8.5,8.25,8.49,13766.0
2022-02-08,8.3113,8.6,8.3113,8.5,5711.0
2022-02-09,8.2803,8.57,8.25,8.56,8474.0
2022-02-10,8.5,8.6,8.26,8.3998,9057.0
2022-02-11,8.3,8.3166,8.16,8.18,19189.0
2022-02-14,8.16,8.29,8.035,8.04,14445.0
2022-02-15,8.08,8.28,8.02,8.16,6674.0
2022-02-16,8.24,8.24,8.11,8.22,8054.0
2022-02-17,8.0981,8.25,8.06,8.15,4656.0
2022-02-18,8.121,8.15,8.06,8.145,6689.0
2022-02-22,8.06,8.23,7.76,7.83,14998.0
2022-02-23,7.98,8.01,7.81,7.96,9510.0
2022-02-24,7.8,7.91,7.13,7.54,20023.0
2022-02-25,7.7,7.9,7.65,7.9,6105.0
2022-02-28,8.18,8.18,7.77,7.83,8595.0
2022-03-01,7.85,7.8801,7.66,7.72,10003.0
2022-03-02,7.8,7.9,7.8,7.87,12668.0
2022-03-03,7.82,8.1713,7.82,8.12,15222.0
2022-03-04,8.25,8.25,8.02,8.23,12019.0
2022-03-07,8.1,8.21,8.1,8.16,7023.0
2022-03-08,8.04,8.24,8.04,8.19,15326.0
2022-03-09,8.25,8.435,8.25,8.435,4051.0
2022-03-10,8.37,8.43,8.37,8.43,1716.0
