date,open,high,low,close,volume
2021-07-01,16.3,21.69,15.5,21.0,40888208.0
2021-07-02,19.8538,20.45,18.3201,19.12,8637909.0
2021-07-06,18.9,19.12,17.0,17.0,3972959.0
2021-07-07,17.2891,18.16,17.0,17.78,3213531.0
2021-07-08,17.25,18.35,17.0,18.2,5448286.0
2021-07-09,18.3702,20.0,18.37,19.29,3951220.0
2021-07-12,19.7,20.06,17.82,18.06,2665167.0
2021-07-13,18.25,18.645,17.5,17.6,2567576.0
2021-07-14,17.65,17.97,17.15,17.22,1456083.0
2021-07-15,17.33,17.53,16.99,17.11,828622.0
2021-07-16,17.02,17.33,17.0,17.04,1209788.0
2021-07-19,16.61,16.9999,16.03,16.96,1425411.0
2021-07-20,17.01,17.1,16.25,16.59,1180986.0
2021-07-21,16.5,16.79,16.08,16.28,1988850.0
2021-07-22,16.05,16.28,15.79,16.07,1695494.0
2021-07-23,15.96,16.74,15.55,16.71,2008877.0
2021-07-26,16.73,17.97,16.685,17.17,3109550.0
2021-07-27,17.44,17.469,16.25,16.43,1076743.0
2021-07-28,16.5,16.85,15.9,15.95,1198756.0
2021-07-29,15.96,16.53,15.8,16.51,815424.0
2021-07-30,16.3,16.4809,15.89,15.96,735679.0
2021-08-02,16.07,16.0762,15.71,15.74,995105.0
2021-08-03,16.0,16.0,15.69,15.7,687107.0
2021-08-04,15.69,15.83,14.89,15.12,1453870.0
2021-08-05,15.12,15.64,14.92,15.64,537696.0
2021-08-06,15.57,15.6499,15.17,15.32,341217.0
2021-08-09,15.3,16.0299,15.0001,15.9,1152434.0
2021-08-10,15.83,15.96,15.38,15.68,563519.0
2021-08-11,15.76,15.9,14.9854,15.08,930451.0
2021-08-12,15.08,15.3199,14.75,14.8,915358.0
2021-08-13,14.8,15.27,14.7,15.03,761433.0
2021-08-16,15.12,15.15,14.32,14.62,990715.0
2021-08-17,14.56,14.67,13.62,14.04,2476411.0
2021-08-18,14.239,14.25,13.01,13.07,3209275.0
2021-08-19,13.0,15.29,12.825,14.91,4320701.0
2021-08-20,14.61,15.63,14.5,15.07,2257112.0
2021-08-23,15.35,16.92,15.0229,16.73,2366007.0
2021-08-24,16.75,17.346,16.09,16.96,1984918.0
2021-08-25,17.0,17.59,16.34,16.53,1576281.0
2021-08-26,16.79,17.22,16.53,16.97,964495.0
2021-08-27,16.93,17.3,16.81,17.0,1064214.0
2021-08-30,17.21,17.67,16.72,16.88,1159209.0
2021-08-31,16.92,17.1,16.55,16.71,705798.0
2021-09-01,16.86,17.02,16.75,16.85,474533.0
2021-09-02,16.99,17.39,16.61,16.79,1238174.0
2021-09-03,16.85,16.9,15.73,16.12,1474931.0
2021-09-07,16.11,16.25,14.93,14.96,2469577.0
2021-09-08,14.97,15.425,14.8,15.21,1961027.0
2021-09-09,15.35,16.29,15.3,16.07,1200388.0
2021-09-10,16.25,16.4499,15.66,15.97,1109927.0
2021-09-13,16.01,16.14,15.2732,15.34,674609.0
2021-09-14,15.45,15.75,15.37,15.56,561994.0
2021-09-15,15.56,15.7499,15.05,15.3,780182.0
2021-09-16,15.23,16.68,15.23,16.38,1512679.0
2021-09-17,16.32,16.5,15.19,15.21,5721070.0
2021-09-20,14.82,15.77,14.56,14.98,2743968.0
2021-09-21,15.0,15.19,14.03,14.27,2259677.0
2021-09-22,14.29,14.46,14.02,14.16,1577755.0
2021-09-23,14.25,14.8,14.2,14.73,1224517.0
2021-09-24,14.67,14.73,14.22,14.51,520905.0
2021-09-27,14.51,14.85,14.25,14.34,838829.0
2021-09-28,14.26,14.37,14.02,14.21,747043.0
2021-09-29,14.28,14.33,13.96,14.0,685770.0
2021-09-30,14.01,14.08,13.75,14.0,848940.0
2021-10-01,14.06,14.25,13.82,14.22,638663.0
2021-10-04,14.0549,14.22,13.8269,13.93,560211.0
