date,open,high,low,close,volume
2021-03-22,5.2352,5.4,5.2352,5.4,13200.0
2021-03-23,5.3811,5.3887,5.3508,5.3508,1138.0
2021-03-24,5.3508,5.3508,5.3508,5.3508,0.0
2021-03-25,5.3508,5.3508,5.3508,5.3508,0.0
2021-03-26,5.3508,5.3508,5.3508,5.3508,65.0
2021-03-29,5.3508,5.3508,5.3508,5.3508,0.0
2021-03-30,5.3508,5.3508,5.3508,5.3508,0.0
2021-03-31,5.3508,5.3508,5.3508,5.3508,0.0
2021-04-01,5.3508,5.3508,5.3508,5.3508,0.0
2021-04-05,4.5176,4.5176,4.3986,4.3986,319.0
2021-04-06,3.9871,3.9871,3.9871,3.9871,100.0
2021-04-07,3.9871,3.9871,3.9871,3.9871,0.0
2021-04-08,3.9871,3.9871,3.9871,3.9871,45.0
2021-04-09,4.0155,4.0155,4.0155,4.0155,500.0
2021-04-12,4.0155,4.0155,4.0155,4.0155,1.0
2021-04-13,3.9159,5.0,3.9,3.9,1418.0
2021-04-14,3.9,3.9,3.9,3.9,0.0
2021-04-15,3.9,3.9,3.9,3.9,0.0
2021-04-16,4.2,4.2,3.8968,3.8968,322.0
2021-04-19,3.8968,3.8968,3.8968,3.8968,28.0
2021-04-20,4.19,4.684,3.9,4.6829,5450.0
2021-04-21,4.8,4.8125,4.7725,4.8125,2193.0
2021-04-22,4.8061,4.8061,4.8061,4.8061,3000.0
2021-04-23,4.8089,5.0,4.8089,4.8231,6883.0
2021-04-26,4.8363,5.0,4.7085,4.8172,14252.0
2021-04-27,4.8436,4.8436,4.7542,4.7788,1053.0
2021-04-28,4.8611,4.9,4.78,4.9,3050.0
2021-04-29,4.7457,4.75,4.6268,4.6268,3426.0
2021-04-30,4.5886,4.5886,4.5072,4.5072,920.0
2021-05-03,4.6363,4.6363,4.6363,4.6363,450.0
2021-05-04,4.6363,4.6363,4.6363,4.6363,80.0
2021-05-05,4.5724,4.6002,4.5724,4.6,16690.0
2021-05-06,4.6,4.6,4.6,4.6,11900.0
2021-05-07,4.6471,4.6471,4.6471,4.6471,915.0
2021-05-10,4.6825,4.6878,4.6825,4.6878,1575.0
2021-05-11,4.6878,4.6878,4.6878,4.6878,161.0
2021-05-12,4.6,4.6,4.6,4.6,200.0
2021-05-13,4.6,4.6,4.6,4.6,12300.0
2021-05-14,4.9,4.9127,4.9,4.9127,411.0
2021-05-17,4.92,4.9841,4.9,4.9841,999.0
2021-05-18,4.89,4.9017,4.8648,4.8648,10370.0
2021-05-19,4.8091,4.8091,4.8091,4.8091,100.0
2021-05-20,4.792,4.792,4.792,4.792,192.0
2021-05-21,4.7747,4.7747,4.7191,4.7191,937.0
2021-05-24,4.71,4.71,4.26,4.7,400.0
2021-05-25,4.7,4.7,4.7,4.7,100.0
2021-05-26,4.6928,4.6928,4.6928,4.6928,256.0
2021-05-27,4.6928,4.6928,4.6928,4.6928,0.0
2021-05-28,4.6654,4.6654,4.6654,4.6654,160.0
2021-06-01,4.8,4.8,4.8,4.8,357.0
2021-06-02,4.66,4.66,4.65,4.65,1435.0
2021-06-03,4.57,4.57,4.55,4.55,721.0
2021-06-04,4.54,4.54,4.54,4.54,335.0
2021-06-07,4.6,4.6,4.5,4.5,660.0
2021-06-08,4.5,4.5,4.405,4.405,546.0
