date,open,high,low,close,volume
2017-03-14,0.655,0.655,0.655,0.655,23500.0
2017-03-15,0.663,0.67,0.6489,0.6489,9000.0
2017-03-16,0.5953,0.5953,0.5953,0.5953,850.0
2017-03-17,0.5953,0.5953,0.5953,0.5953,0.0
2017-03-20,0.5953,0.5953,0.5953,0.5953,0.0
2017-03-21,0.592,0.592,0.592,0.592,900.0
2017-03-22,0.5625,0.5625,0.5625,0.5625,169.0
2017-03-23,0.5359,0.5522,0.5359,0.5522,8125.0
2017-03-24,0.5522,0.5522,0.5522,0.5522,0.0
2017-03-27,0.5522,0.5522,0.5522,0.5522,0.0
2017-03-28,0.5522,0.5522,0.5522,0.5522,0.0
2017-03-29,0.5522,0.5522,0.5522,0.5522,0.0
2017-03-30,0.5522,0.5522,0.5522,0.5522,880.0
2017-03-31,0.5522,0.5522,0.5522,0.5522,0.0
2017-04-03,0.5522,0.5522,0.5522,0.5522,0.0
2017-04-04,0.5396,0.5396,0.5396,0.5396,900.0
2017-04-05,0.5396,0.5396,0.5396,0.5396,0.0
2017-04-06,0.5396,0.5396,0.5396,0.5396,0.0
2017-04-07,0.487,0.487,0.487,0.487,3000.0
2017-04-10,0.487,0.487,0.487,0.487,0.0
2017-04-11,0.487,0.487,0.487,0.487,0.0
2017-04-12,0.487,0.487,0.487,0.487,0.0
2017-04-13,0.515,0.515,0.515,0.515,500.0
2017-04-17,0.5018,0.5021,0.5018,0.5021,1000.0
2017-04-18,0.5021,0.5021,0.5021,0.5021,0.0
2017-04-19,0.5049,0.5049,0.5049,0.5049,7050.0
2017-04-20,0.5049,0.5049,0.5049,0.5049,1100.0
2017-04-21,0.5049,0.5049,0.5049,0.5049,1000.0
2017-04-24,0.4848,0.4854,0.4848,0.4854,1150.0
2017-04-25,0.4619,0.4619,0.4619,0.4619,500.0
2017-04-26,0.462,0.462,0.447,0.447,1500.0
2017-04-27,0.447,0.447,0.447,0.447,1009.0
2017-04-28,0.495,0.5157,0.481,0.497,93045.0
2017-05-01,0.5148,0.548,0.4633,0.4774,373531.0
2017-05-02,0.469,0.4856,0.43,0.43,81176.0
2017-05-03,0.469,0.47,0.4475,0.4612,174769.0
2017-05-04,0.474,0.474,0.4381,0.4381,20185.0
2017-05-05,0.4491,0.457,0.4144,0.4244,33934.0
2017-05-08,0.41,0.4314,0.3437,0.3526,46393.0
2017-05-09,0.386,0.3948,0.3728,0.3728,25080.0
2017-05-10,0.3724,0.3775,0.3643,0.3658,12228.0
2017-05-11,0.3715,0.3715,0.3636,0.3636,16090.0
2017-05-12,0.3647,0.3647,0.3534,0.3534,18175.0
2017-05-15,0.376,0.376,0.3534,0.3534,29441.0
2017-05-16,0.3573,0.3588,0.3434,0.35,16875.0
2017-05-17,0.3452,0.3453,0.3389,0.3437,13279.0
2017-05-18,0.3309,0.3309,0.3309,0.3309,2000.0
2017-05-19,0.3309,0.3309,0.3309,0.3309,1515.0
2017-05-22,0.3258,0.3258,0.3181,0.3258,9600.0
2017-05-23,0.327,0.327,0.3148,0.3148,15876.0
2017-05-24,0.3222,0.3234,0.32,0.3231,15280.0
2017-05-25,0.3231,0.3231,0.3231,0.3231,0.0
2017-05-26,0.3441,0.3441,0.339,0.339,10130.0
2017-05-30,0.4456,0.4457,0.4288,0.4288,28002.0
2017-05-31,0.459,0.46,0.4394,0.442,28665.0
2017-06-01,0.4687,0.56,0.4467,0.5049,820247.0
2017-06-02,0.5185,0.5452,0.49,0.49,337668.0
2017-06-05,0.5,0.512,0.432,0.4397,560917.0
2017-06-06,0.4496,0.45,0.409,0.4164,181708.0
2017-06-07,0.4186,0.425,0.4,0.4109,98447.0
2017-06-08,0.429,0.457,0.42,0.4477,226073.0
2017-06-09,0.4561,0.4571,0.4189,0.4342,57533.0
2017-06-12,0.461,0.461,0.3996,0.408,81649.0
2017-06-13,0.42,0.45,0.4,0.45,137943.0
2017-06-14,0.444,0.4593,0.43,0.4474,82632.0
2017-06-15,0.437,0.45,0.3938,0.3954,89921.0
2017-06-16,0.3954,0.4258,0.39,0.4258,40600.0
2017-06-19,0.4302,0.451,0.4252,0.4332,73649.0
2017-06-20,0.42,0.428,0.3897,0.409,47045.0
2017-06-21,0.426,0.479,0.4,0.4762,13500.0
2017-06-22,0.5032,0.572,0.489,0.572,240831.0
2017-06-23,0.572,0.572,0.572,0.572,0.0
2017-06-26,0.572,0.572,0.572,0.572,0.0
2017-06-27,0.572,0.572,0.572,0.572,0.0
2017-06-28,0.572,0.572,0.572,0.572,0.0
2017-06-29,0.572,0.572,0.572,0.572,0.0
2017-06-30,0.572,0.572,0.572,0.572,0.0
2017-07-05,0.572,0.572,0.572,0.572,0.0
2017-07-06,0.572,0.572,0.572,0.572,2.0
2017-07-07,0.5896,0.65,0.584,0.585,23921.0
2017-07-10,0.585,0.585,0.585,0.585,100.0
2017-07-11,0.585,0.585,0.585,0.585,0.0
2017-07-12,0.585,0.585,0.585,0.585,0.0
2017-07-13,0.588,0.588,0.588,0.588,3570.0
2017-07-14,0.57,0.58,0.57,0.58,3041.0
2017-07-17,0.58,0.58,0.58,0.58,0.0
2017-07-18,0.58,0.58,0.58,0.58,0.0
2017-07-19,0.58,0.58,0.58,0.58,0.0
2017-07-20,0.58,0.58,0.58,0.58,0.0
2017-07-21,0.58,0.58,0.58,0.58,0.0
2017-07-24,0.58,0.58,0.58,0.58,0.0
2017-07-25,0.58,0.58,0.58,0.58,0.0
2017-07-26,0.58,0.58,0.58,0.58,0.0
