date,open,high,low,close,volume
2025-10-23,0.1416,0.3401,0.1416,0.2111,76374.0
2025-10-24,0.21,0.3901,0.18,0.23,299719.0
2025-10-27,0.22,0.25,0.15,0.1919,114248.0
2025-10-28,0.18,0.2339,0.152,0.2114,173690.0
2025-10-29,0.202,0.25,0.17,0.2,187192.0
2025-10-30,0.19,0.236,0.1604,0.1851,404107.0
2025-10-31,0.198,0.2199,0.1872,0.2101,94478.0
2025-11-03,0.23,0.23,0.1956,0.202,42974.0
2025-11-04,0.195,0.2198,0.185,0.186,74121.0
2025-11-05,0.21,0.213,0.1897,0.2,56633.0
2025-11-06,0.203,0.203,0.16,0.1792,96014.0
2025-11-07,0.1895,0.1895,0.15,0.159,51056.0
2025-11-10,0.1885,0.2,0.1614,0.18,64965.0
2025-11-11,0.2,0.2,0.16,0.198,18011.0
2025-11-12,0.198,0.2,0.1742,0.194,44001.0
2025-11-13,0.19,0.1999,0.1862,0.1999,3300.0
2025-11-14,0.1974,0.2,0.1638,0.1897,54685.0
2025-11-17,0.196,0.1997,0.1619,0.17,66290.0
2025-11-18,0.17,0.17,0.135,0.135,225704.0
2025-11-19,0.14,0.14,0.12,0.1386,141949.0
2025-11-20,0.1395,0.1445,0.1204,0.134,3844.0
2025-11-21,0.144,0.144,0.144,0.144,109.0
2025-11-24,0.1396,0.1396,0.1201,0.13,10688.0
2025-11-25,0.1396,0.1396,0.1396,0.1396,210.0
2025-11-26,0.1395,0.14,0.12,0.137,4186.0
2025-11-28,0.1216,0.1298,0.1196,0.1298,8825.0
2025-12-01,0.1154,0.129,0.1024,0.1024,30890.0
2025-12-02,0.1,0.1,0.0862,0.09,57159.0
