date,open,high,low,close,volume
2024-11-04,9.97,9.97,9.97,9.97,101155.0
2024-11-05,9.96,9.97,9.96,9.97,261836.0
2024-11-06,9.96,9.99,9.96,9.97,318063.0
2024-11-07,9.97,9.97,9.9685,9.97,232130.0
2024-11-08,9.96,9.97,9.96,9.97,93451.0
2024-11-11,9.96,9.97,9.96,9.9668,12104.0
2024-11-12,9.96,9.96,9.96,9.96,15015.0
2024-11-13,9.97,9.97,9.955,9.96,31301.0
2024-11-14,9.97,9.97,9.96,9.965,36106.0
2024-11-15,9.96,9.97,9.96,9.96,24844.0
2024-11-18,9.96,9.965,9.96,9.96,23727.0
2024-11-19,9.9699,9.975,9.96,9.96,109966.0
2024-11-20,9.96,9.97,9.96,9.96,1253.0
2024-11-21,9.97,9.97,9.96,9.97,221150.0
2024-11-22,9.97,9.97,9.97,9.97,224245.0
2024-11-25,9.97,10.02,9.97,10.01,170067.0
2024-11-26,10.0,10.06,10.0,10.03,10420.0
2024-11-27,10.05,10.09,10.02,10.02,68633.0
2024-11-29,10.03,10.03,10.03,10.03,700.0
2024-12-02,10.03,10.03,10.03,10.03,3.0
2024-12-03,10.04,10.04,10.04,10.04,75950.0
2024-12-04,10.04,10.04,10.04,10.04,320.0
2024-12-05,10.02,10.02,10.01,10.01,18050.0
2024-12-06,10.01,10.01,10.01,10.01,0.0
2024-12-09,10.03,10.03,10.03,10.03,164.0
2024-12-10,10.03,10.03,10.03,10.03,1.0
2024-12-11,10.03,10.03,10.03,10.03,2.0
2024-12-12,10.03,10.03,10.03,10.03,0.0
2024-12-13,10.03,10.03,10.03,10.03,0.0
2024-12-16,10.05,10.05,10.05,10.05,50191.0
2024-12-17,10.05,10.05,10.05,10.05,4.0
2024-12-18,10.05,10.05,10.05,10.05,0.0
2024-12-19,10.05,10.05,10.05,10.05,0.0
2024-12-20,10.03,10.03,10.03,10.03,8101.0
2024-12-23,10.03,10.03,10.03,10.03,7.0
2024-12-24,10.02,10.02,10.02,10.02,84625.0
2024-12-26,10.02,10.02,10.02,10.02,0.0
2024-12-27,10.02,10.02,10.02,10.02,0.0
2024-12-30,10.02,10.02,10.02,10.02,121.0
2024-12-31,10.035,10.035,10.0211,10.025,28696.0
2025-01-02,10.03,10.035,10.03,10.03,100020.0
2025-01-03,10.035,10.035,10.03,10.03,5079.0
2025-01-06,10.04,10.04,10.04,10.04,50003.0
2025-01-07,10.0368,10.04,10.035,10.04,61966.0
2025-01-08,10.04,10.04,10.04,10.04,0.0
2025-01-10,10.04,10.04,10.04,10.04,0.0
2025-01-13,10.04,10.04,10.04,10.04,71.0
2025-01-14,10.11,10.12,10.11,10.12,8428.0
2025-01-15,10.12,10.12,10.12,10.12,1.0
2025-01-16,10.09,10.09,10.09,10.09,460.0
2025-01-17,10.08,10.14,10.08,10.08,854.0
2025-01-21,10.08,10.08,10.08,10.08,444.0
2025-01-22,10.08,10.08,10.08,10.08,2.0
2025-01-23,10.08,10.08,10.08,10.08,0.0
2025-01-24,10.08,10.08,10.08,10.08,0.0
2025-01-27,10.08,10.08,10.08,10.08,0.0
2025-01-28,10.08,10.08,10.08,10.08,113.0
2025-01-29,10.11,10.11,10.08,10.11,1988.0
2025-01-30,10.11,10.11,10.11,10.11,2.0
2025-01-31,10.118,10.118,10.118,10.118,1028.0
2025-02-03,10.1,10.1,10.1,10.1,926.0
2025-02-04,10.1264,10.1264,10.1,10.1,910.0
2025-02-05,10.12,10.12,10.12,10.12,1112.0
2025-02-06,10.12,10.12,10.12,10.12,0.0
2025-02-07,10.13,10.13,10.13,10.13,566.0
2025-02-10,10.13,10.13,10.1,10.1,753.0
2025-02-11,10.1,10.1001,10.1,10.1,17752.0
2025-02-12,10.1,10.1,10.1,10.1,36.0
2025-02-13,10.1,10.1,10.1,10.1,24.0
2025-02-14,10.1,10.1,10.1,10.1,0.0
2025-02-18,10.1,10.11,10.1,10.11,3878.0
2025-02-19,10.11,10.11,10.11,10.11,3.0
2025-02-20,10.11,10.11,10.11,10.11,79.0
2025-02-21,10.14,10.14,10.14,10.14,202.0
2025-02-24,10.12,10.12,10.11,10.12,12084.0
2025-02-25,10.12,10.12,10.12,10.12,1191.0
2025-02-26,10.12,10.12,10.12,10.12,1099.0
2025-02-27,10.12,10.12,10.12,10.12,1117.0
2025-02-28,10.1,10.12,10.1,10.12,1878.0
2025-03-03,10.1,10.12,10.1,10.12,1787.0
2025-03-04,10.12,10.13,10.1,10.13,125893.0
2025-03-05,10.12,10.14,10.1,10.14,286911.0
2025-03-06,10.14,10.15,10.13,10.15,27402.0
2025-03-07,10.15,10.15,10.15,10.15,10894.0
2025-03-10,10.13,10.15,10.13,10.15,18225.0
2025-03-11,10.16,10.16,10.15,10.15,9309.0
2025-03-12,10.15,10.17,10.15,10.17,9025.0
2025-03-13,10.15,10.15,10.15,10.15,7822.0
2025-03-14,10.16,10.16,10.15,10.16,7210.0
2025-03-17,10.16,10.16,10.14,10.16,6663.0
2025-03-18,10.14,10.16,10.14,10.16,6651.0
2025-03-19,10.16,10.16,10.15,10.16,5747.0
2025-03-20,10.15,10.15,10.1,10.1,5291.0
2025-03-21,10.16,10.18,10.15,10.18,21645.0
2025-03-24,10.17,10.17,10.17,10.17,9935.0
2025-03-25,10.17,10.17,10.17,10.17,4682.0
2025-03-26,10.18,10.18,10.16,10.18,152629.0
2025-03-27,10.18,10.2,10.18,10.19,15080.0
2025-03-28,10.18,10.18,10.18,10.18,378.0
2025-03-31,10.18,10.18,10.18,10.18,23.0
2025-04-01,10.2,10.2,10.2,10.2,665.0
2025-04-02,10.2,10.2,10.2,10.2,0.0
2025-04-03,10.2,10.2,10.2,10.2,0.0
2025-04-04,10.2,10.2,10.2,10.2,0.0
2025-04-07,10.2,10.2,10.2,10.2,5.0
2025-04-08,10.2,10.2,10.2,10.2,23.0
2025-04-09,10.2,10.2,10.2,10.2,145000.0
2025-04-10,10.2,10.2,10.2,10.2,0.0
2025-04-11,10.2,10.21,10.2,10.21,249696.0
2025-04-14,10.21,10.21,10.21,10.21,1598.0
2025-04-15,10.2,10.2,10.2,10.2,100.0
2025-04-16,10.2,10.2,10.2,10.2,0.0
2025-04-17,10.2,10.2,10.2,10.2,30.0
2025-04-21,10.21,10.21,10.21,10.21,1099.0
2025-04-22,10.21,10.21,10.21,10.21,81.0
2025-04-23,10.21,10.21,10.21,10.21,23.0
2025-04-24,10.21,10.21,10.21,10.21,17.0
2025-04-25,10.21,10.21,10.21,10.21,98.0
2025-04-28,10.21,10.21,10.21,10.21,10.0
2025-04-29,10.23,10.23,10.23,10.23,1125.0
2025-04-30,10.23,10.23,10.23,10.23,2.0
2025-05-01,10.23,10.23,10.23,10.23,2.0
2025-05-02,10.24,10.24,10.24,10.24,6439.0
2025-05-05,10.24,10.24,10.24,10.24,6.0
2025-05-06,10.24,10.24,10.24,10.24,600.0
2025-05-07,10.25,10.25,10.25,10.25,400.0
2025-05-08,10.25,10.25,10.25,10.25,0.0
2025-05-09,10.25,10.25,10.25,10.25,0.0
2025-05-12,10.25,10.25,10.25,10.25,0.0
2025-05-13,10.25,10.25,10.25,10.25,805.0
2025-05-14,10.25,10.25,10.25,10.25,0.0
2025-05-15,10.25,10.25,10.25,10.25,5.0
2025-05-16,10.25,10.25,10.25,10.25,6.0
2025-05-19,10.319,10.32,10.319,10.32,621.0
2025-05-20,10.28,10.28,10.28,10.28,5496.0
2025-05-21,10.2875,10.295,10.271,10.2882,10100.0
2025-05-22,10.2882,10.2882,10.2882,10.2882,2.0
2025-05-23,10.2882,10.2882,10.2882,10.2882,0.0
2025-05-27,10.28,10.28,10.28,10.28,110.0
2025-05-28,10.31,10.31,10.3,10.3,5302.0
2025-05-29,10.3,10.3,10.3,10.3,0.0
2025-05-30,10.3,10.3,10.3,10.3,57.0
2025-06-02,10.28,10.28,10.2799,10.28,7600.0
2025-06-03,10.27,10.29,10.27,10.29,15324.0
2025-06-04,10.29,10.29,10.29,10.29,0.0
2025-06-05,10.34,10.34,10.34,10.34,3040.0
2025-06-06,10.34,10.35,10.34,10.35,3975.0
2025-06-09,10.35,10.35,10.35,10.35,0.0
2025-06-10,10.35,10.35,10.35,10.35,17.0
2025-06-11,10.35,10.35,10.35,10.35,0.0
2025-06-12,10.35,10.35,10.35,10.35,0.0
2025-06-13,10.35,10.35,10.35,10.35,0.0
2025-06-16,10.36,10.36,10.36,10.36,100.0
2025-06-17,10.36,10.36,10.36,10.36,0.0
2025-06-18,10.36,10.36,10.36,10.36,0.0
2025-06-20,10.36,10.36,10.36,10.36,68.0
2025-06-23,10.36,10.36,10.36,10.36,1.0
2025-06-24,10.36,10.36,10.36,10.36,0.0
2025-06-25,10.38,10.39,10.325,10.36,125808.0
2025-06-26,10.39,10.4,10.38,10.4,1771.0
2025-06-27,10.42,10.42,10.42,10.42,4167.0
2025-06-30,10.42,10.42,10.42,10.42,18.0
2025-07-01,10.42,10.42,10.42,10.42,0.0
2025-07-02,10.42,10.42,10.42,10.42,53.0
2025-07-03,10.4,10.4,10.4,10.4,6210.0
2025-07-07,10.4,10.4,10.4,10.4,50.0
2025-07-08,10.4,10.4,10.4,10.4,174.0
2025-07-09,10.4,10.4,10.4,10.4,35.0
2025-07-10,10.4,10.4,10.4,10.4,27.0
2025-07-11,10.4,10.4,10.4,10.4,12215.0
2025-07-14,10.4,10.4,10.4,10.4,41.0
2025-07-15,10.4,10.4,10.4,10.4,0.0
2025-07-16,10.4,10.4,10.4,10.4,0.0
2025-07-17,10.4,10.4,10.4,10.4,45475.0
2025-07-18,10.4,10.4,10.4,10.4,6.0
2025-07-21,10.42,10.42,10.42,10.42,501.0
2025-07-22,10.37,10.37,10.37,10.37,501.0
2025-07-23,10.37,10.37,10.37,10.37,0.0
2025-07-24,10.42,10.45,10.42,10.45,5004.0
2025-07-25,10.4,10.4,10.39,10.4,1751.0
2025-07-28,10.4,10.4,10.4,10.4,0.0
2025-07-29,10.4,10.4,10.4,10.4,0.0
2025-07-30,10.4,10.4,10.4,10.4,0.0
2025-07-31,10.4,10.4,10.4,10.4,2.0
2025-08-01,10.4,10.4,10.4,10.4,8.0
2025-08-04,10.4,10.4,10.4,10.4,0.0
2025-08-05,10.39,10.39,10.39,10.39,100.0
2025-08-06,10.39,10.39,10.39,10.39,2.0
2025-08-07,10.39,10.39,10.39,10.39,0.0
2025-08-08,10.39,10.39,10.39,10.39,0.0
2025-08-11,10.39,10.39,10.39,10.39,0.0
2025-08-12,10.39,10.39,10.39,10.39,0.0
2025-08-13,10.39,10.39,10.39,10.39,1.0
2025-08-14,10.39,10.39,10.39,10.39,0.0
2025-08-15,10.41,10.43,10.41,10.43,301.0
2025-08-18,10.43,10.43,10.43,10.43,2.0
2025-08-19,10.43,10.43,10.43,10.43,0.0
2025-08-20,10.43,10.43,10.43,10.43,0.0
2025-08-21,10.43,10.43,10.43,10.43,1.0
2025-08-22,10.43,10.43,10.43,10.43,1.0
2025-08-25,10.43,10.43,10.43,10.43,0.0
2025-08-26,10.43,10.43,10.43,10.43,100.0
2025-08-27,10.4787,10.4787,10.4787,10.4787,101.0
2025-08-28,10.4787,10.4787,10.4787,10.4787,28.0
2025-08-29,10.4787,10.4787,10.4787,10.4787,2.0
2025-09-02,10.42,10.42,10.42,10.42,46900.0
2025-09-03,10.42,10.42,10.42,10.42,40000.0
2025-09-04,10.42,10.42,10.42,10.42,23.0
2025-09-05,10.42,10.42,10.42,10.42,26.0
2025-09-08,10.42,10.42,10.42,10.42,0.0
2025-09-09,10.43,10.43,10.43,10.43,50046.0
2025-09-10,10.43,10.43,10.43,10.43,11.0
2025-09-11,10.43,10.43,10.43,10.43,11.0
2025-09-12,10.43,10.43,10.43,10.43,0.0
2025-09-15,10.43,10.43,10.43,10.43,21.0
2025-09-16,10.43,10.43,10.43,10.43,1.0
2025-09-17,10.43,10.43,10.43,10.43,1.0
2025-09-18,10.43,10.43,10.43,10.43,0.0
2025-09-19,10.46,10.46,10.46,10.46,110.0
2025-09-22,10.46,10.46,10.46,10.46,0.0
2025-09-23,10.46,10.46,10.46,10.46,40.0
2025-09-24,10.46,10.46,10.46,10.46,0.0
2025-09-25,10.46,10.46,10.46,10.46,40000.0
2025-09-26,10.46,10.46,10.46,10.46,10.0
2025-09-29,10.46,10.46,10.46,10.46,7.0
2025-09-30,10.46,10.46,10.46,10.46,0.0
2025-10-01,10.46,10.46,10.46,10.46,0.0
2025-10-02,10.46,10.46,10.46,10.46,0.0
2025-10-03,10.46,10.46,10.46,10.46,512.0
2025-10-06,10.46,10.46,10.46,10.46,4.0
2025-10-07,10.46,10.46,10.46,10.46,3.0
2025-10-08,10.46,10.46,10.46,10.46,70.0
2025-10-09,10.46,10.46,10.46,10.46,567.0
2025-10-10,10.46,10.46,10.46,10.46,0.0
2025-10-13,10.46,10.46,10.46,10.46,2.0
2025-10-14,10.46,10.46,10.46,10.46,2.0
2025-10-15,10.46,10.46,10.46,10.46,7.0
2025-10-16,10.46,10.46,10.46,10.46,7.0
2025-10-17,10.46,10.46,10.46,10.46,8.0
2025-10-20,10.46,10.46,10.46,10.46,8.0
2025-10-21,10.51,10.55,10.51,10.55,1562.0
2025-10-22,10.55,10.55,10.55,10.55,34.0
2025-10-23,10.55,10.55,10.55,10.55,22.0
2025-10-24,10.55,10.55,10.55,10.55,0.0
