date,open,high,low,close,volume
2019-04-11,36.75,39.61,36.0,38.25,9287894.0
2019-04-12,39.12,40.88,37.399,39.5,1504839.0
2019-04-15,38.5,39.86,36.25,39.17,961240.0
2019-04-16,39.64,39.7,37.9,38.05,727645.0
2019-04-17,38.21,41.95,37.5,40.0,1143396.0
2019-04-18,40.44,40.44,38.11,39.15,600888.0
2019-04-22,39.15,39.6,38.14,39.39,330394.0
2019-04-23,39.4,39.9,39.0,39.88,289155.0
2019-04-24,40.18,40.2,39.35,40.2,331618.0
2019-04-25,40.4,40.4,39.0,39.5,381753.0
2019-04-26,39.55,43.49,39.55,43.2,477206.0
2019-04-29,43.85,46.87,43.6,46.5,688409.0
2019-04-30,46.05,48.429,44.179,46.9,755147.0
2019-05-01,47.15,48.4,46.74,46.82,519135.0
2019-05-02,46.29,46.645,44.3,45.74,517340.0
2019-05-03,46.12,48.13,46.06,46.4,293423.0
2019-05-06,44.8,49.77,44.8,49.04,546465.0
2019-05-07,49.0,50.47,48.08,49.04,491801.0
2019-05-08,49.49,50.421,49.08,49.08,270889.0
2019-05-09,48.96,49.811,47.5,49.23,189583.0
2019-05-10,49.45,52.13,48.18,51.82,378752.0
2019-05-13,50.98,51.55,48.12,49.45,542942.0
2019-05-14,50.31,54.57,50.01,52.59,438177.0
2019-05-15,52.275,53.98,51.65,53.45,263688.0
2019-05-16,53.68,58.96,53.5,55.64,641664.0
2019-05-17,55.0,56.63,53.75,54.69,298886.0
2019-05-20,54.51,58.63,53.831,55.06,428182.0
2019-05-21,55.79,56.985,53.9,54.87,339742.0
2019-05-22,54.67,55.222,53.865,53.99,137521.0
2019-05-23,53.497,54.11,50.621,51.98,339492.0
2019-05-24,52.47,53.9,52.17,53.21,131849.0
2019-05-28,53.21,54.0,52.28,52.48,122417.0
2019-05-29,51.77,52.0,49.5,51.9,282129.0
2019-05-30,52.08,53.99,51.49,51.81,187680.0
2019-05-31,51.22,51.92,49.99,51.4,234355.0
2019-06-03,51.04,51.35,45.15,46.21,698606.0
2019-06-04,47.46,48.02,43.7701,44.66,861045.0
2019-06-05,45.546,48.88,44.71,47.58,582694.0
2019-06-06,47.07,48.18,44.55,47.56,1017694.0
2019-06-07,50.0,55.29,46.0,48.9,2195013.0
2019-06-10,51.17,52.95,49.01,49.85,714099.0
2019-06-11,50.3,50.66,49.01,50.24,365819.0
2019-06-12,50.0,55.67,50.0,55.31,661542.0
2019-06-13,56.11,56.67,53.43,54.1,461581.0
2019-06-14,54.46,57.37,53.18,57.37,414331.0
2019-06-17,58.1,59.82,54.02,55.27,568389.0
2019-06-18,55.59,57.27,54.02,54.45,405573.0
2019-06-19,54.41,54.8672,52.5407,54.36,409217.0
2019-06-20,54.34,54.69,52.99,53.79,456652.0
2019-06-21,53.46,54.75,52.755,53.41,908595.0
2019-06-24,53.51,53.56,47.56,49.28,988792.0
2019-06-25,49.31,50.199,47.14,47.52,693637.0
2019-06-26,48.0,49.76,46.06,46.48,913527.0
2019-06-27,46.53,48.43,45.291,47.78,1103455.0
2019-06-28,48.12,48.8,45.91,47.05,1217811.0
2019-07-01,48.0,48.735,44.704,46.08,842591.0
2019-07-02,45.83,46.54,44.5,46.26,660780.0
2019-07-03,46.72,47.95,46.31,47.03,321600.0
2019-07-05,46.83,47.81,46.5,47.69,350260.0
2019-07-08,47.62,47.93,46.54,47.68,579894.0
2019-07-09,47.5,49.7,47.325,49.7,476280.0
2019-07-10,50.79,51.88,48.99,50.52,574570.0
2019-07-11,50.66,50.76,48.3,49.4,622048.0
2019-07-12,49.04,49.04,47.25,48.58,816569.0
2019-07-15,49.44,50.36,49.008,49.65,598335.0
2019-07-16,49.56,49.69,47.92,48.54,400380.0
2019-07-17,48.5,48.88,46.68,47.69,605417.0
2019-07-18,47.6,47.61,44.91,44.91,660558.0
2019-07-19,45.18,47.55,45.05,46.29,735646.0
2019-07-22,46.58,48.73,46.05,46.65,576022.0
2019-07-23,46.8,47.19,43.7,44.15,1252516.0
2019-07-24,44.6,45.43,43.07,44.94,642209.0
2019-07-25,44.66,44.93,43.22,43.5,440368.0
2019-07-26,43.73,45.99,43.34,45.68,419804.0
2019-07-29,45.67,45.68,43.18,44.05,490267.0
2019-07-30,43.36,45.117,42.72,44.96,295982.0
2019-07-31,44.77,45.06,43.01,44.2,474302.0
2019-08-01,43.9,44.18,41.174,41.7,497180.0
2019-08-02,41.57,41.57,39.3,39.43,613960.0
2019-08-05,38.1,39.315,36.31,37.61,824610.0
2019-08-06,38.76,39.19,36.35,36.9,669108.0
2019-08-07,36.29,37.85,35.9,37.59,200887.0
2019-08-08,38.04,40.11,38.04,40.07,795710.0
2019-08-09,39.99,40.56,37.05,37.6,428062.0
2019-08-12,37.42,37.44,36.17,36.56,420297.0
2019-08-13,36.02,36.84,34.75,36.2,648868.0
2019-08-14,36.48,37.21,34.85,35.75,567082.0
2019-08-15,35.81,35.81,33.25,33.75,1025805.0
2019-08-16,33.96,36.6,33.88,34.68,747811.0
2019-08-19,35.0,35.88,33.28,35.42,604293.0
2019-08-20,35.14,35.26,33.85,34.5,604558.0
2019-08-21,34.58,36.43,34.5,35.03,310114.0
2019-08-22,35.19,35.96,34.51,35.82,435704.0
2019-08-23,35.68,35.95,34.72,34.86,243829.0
2019-08-26,35.04,35.99,34.913,35.6,368602.0
