date,open,high,low,close,volume
2021-11-16,25.03,25.5,25.03,25.19,90844.0
2021-11-17,25.04,25.3,24.91,25.15,22560.0
2021-11-18,25.14,25.15,24.9,25.07,10580.0
2021-11-19,25.49,25.49,24.98,25.05,126400.0
2021-11-22,25.0,25.1,24.94,24.94,5898.0
2021-11-23,24.975,25.01,24.975,25.0,1580.0
2021-11-24,24.9,25.03,24.9,25.0,6517.0
2021-11-26,24.88,24.99,24.88,24.99,22674.0
2021-11-29,24.98,25.099,24.96,25.099,7255.0
2021-11-30,25.0491,25.05,24.96,24.96,13712.0
2021-12-01,24.95,25.049,24.95,24.95,9909.0
2021-12-02,25.0,25.05,24.95,25.05,1800.0
2021-12-03,25.05,25.05,24.9986,25.0,3820.0
2021-12-06,25.1,25.1,25.01,25.0991,5000.0
2021-12-07,25.0416,25.1,25.01,25.0991,5925.0
2021-12-08,25.1,25.317,25.1,25.2,1975.0
2021-12-09,25.2,25.2,25.2,25.2,0.0
2021-12-10,25.32,25.32,25.2,25.2,2454.0
2021-12-13,25.28,25.28,25.28,25.28,285.0
2021-12-14,25.3499,25.3499,25.3499,25.3499,120.0
2021-12-15,25.2,25.2,25.1,25.1,2211.0
2021-12-16,25.0,25.41,25.0,25.3248,3853.0
2021-12-17,25.326,25.38,25.326,25.38,614.0
2021-12-20,25.1,25.348,25.0997,25.348,2400.0
2021-12-21,25.278,25.294,24.95,25.294,1500.0
2021-12-22,25.0,25.0,24.95,24.95,2389.0
2021-12-23,25.0,25.23,25.0,25.23,853.0
2021-12-27,25.02,25.15,25.02,25.15,500.0
2021-12-28,25.1412,25.26,25.02,25.26,2100.0
2021-12-29,25.16,25.16,25.16,25.16,200.0
2021-12-30,25.12,25.15,25.05,25.15,9492.0
2021-12-31,25.15,25.18,25.14,25.15,3200.0
2022-01-03,25.2499,25.2499,25.135,25.15,559.0
2022-01-04,25.25,25.25,25.185,25.2394,1300.0
2022-01-05,25.07,25.24,25.05,25.24,3161.0
2022-01-06,25.14,25.24,25.14,25.22,600.0
2022-01-07,25.1443,25.17,25.1443,25.17,700.0
2022-01-10,25.24,25.25,25.2391,25.25,3200.0
2022-01-11,25.44,25.44,25.3,25.3,1200.0
2022-01-12,25.15,25.2999,25.1,25.2999,4413.0
2022-01-13,25.3,25.4999,25.3,25.4,5264.0
2022-01-14,25.1,25.25,25.05,25.25,8540.0
2022-01-18,25.25,25.275,25.25,25.25,1108.0
2022-01-19,25.268,25.3,25.26,25.3,2727.0
2022-01-20,25.3,25.3,25.3,25.3,0.0
2022-01-21,25.29,25.3,25.29,25.3,9290.0
2022-01-24,25.3,25.3,25.3,25.3,15.0
