date,open,high,low,close,volume
2014-11-19,18.49,18.5,17.49,18.18,57281771.0
2014-11-20,18.15,18.28,18.1,18.15,6643374.0
2014-11-21,18.27,18.56,18.21,18.43,10293016.0
2014-11-24,18.55,18.64,18.38,18.56,3473796.0
2014-11-25,18.6,18.79,18.36,18.79,5863358.0
2014-11-26,18.85,18.85,18.6702,18.79,1585124.0
2014-11-28,18.8,18.95,18.8,18.8,733668.0
2014-12-01,18.8,18.88,18.16,18.25,2631839.0
2014-12-02,18.31,18.64,18.25,18.27,1353658.0
2014-12-03,18.29,18.695,18.24,18.5,2445952.0
2014-12-04,18.4,18.64,18.32,18.5,1642251.0
2014-12-05,18.42,18.5,18.29,18.41,1470185.0
2014-12-08,18.35,18.55,18.29,18.35,1634064.0
2014-12-09,18.38,18.4,18.17,18.33,1626910.0
2014-12-10,18.24,18.39,18.05,18.23,4403411.0
2014-12-11,18.25,18.52,18.06,18.42,2141477.0
2014-12-12,18.45,18.47,18.17,18.34,1275650.0
2014-12-15,18.27,18.45,17.65,18.06,2350507.0
2014-12-16,17.8,18.25,17.79,18.1,2677164.0
2014-12-17,18.11,18.4,18.03,18.32,2280083.0
2014-12-18,18.49,18.6,18.15,18.35,2251390.0
2014-12-19,18.31,18.37,18.08,18.08,8240763.0
2014-12-22,18.15,18.48,18.07,18.42,4184339.0
2014-12-23,18.43,18.75,18.38,18.53,1765606.0
2014-12-24,18.45,18.64,18.45,18.46,216925.0
2014-12-26,18.58,18.72,18.26,18.64,633716.0
2014-12-29,18.67,18.89,18.45,18.5,825334.0
2014-12-30,18.38,19.68,18.33,18.74,1056160.0
2014-12-31,18.75,18.88,18.54,18.59,1007643.0
2015-01-02,18.56,18.98,18.52,18.78,715064.0
2015-01-05,18.6,19.29,18.5,18.95,897139.0
2015-01-06,19.0,19.21,18.94,19.05,1585396.0
2015-01-07,19.1,19.47,18.85,19.43,1401533.0
2015-01-08,19.25,19.5,19.1,19.49,695419.0
2015-01-09,19.41,19.58,19.27,19.49,800879.0
2015-01-12,19.43,19.56,19.338,19.49,512621.0
2015-01-13,19.45,19.57,19.23,19.32,544233.0
2015-01-14,19.15,19.465,18.87,19.22,1187567.0
2015-01-15,19.2,19.5,18.98,19.07,730232.0
2015-01-16,19.19,19.36,18.87,19.33,716551.0
2015-01-20,19.41,19.5,19.03,19.31,644466.0
2015-01-21,19.18,19.46,18.94,19.11,912436.0
2015-01-22,19.26,19.34,19.05,19.34,622749.0
2015-01-23,19.29,19.42,19.12,19.31,715189.0
2015-01-26,19.16,19.91,19.16,19.6,1048250.0
2015-01-27,19.45,19.77,19.39,19.56,748172.0
2015-01-28,19.59,19.76,19.51,19.57,399006.0
2015-01-29,19.59,19.765,19.28,19.75,589188.0
2015-01-30,19.55,19.68,19.34,19.35,1005267.0
2015-02-02,19.32,19.35,18.96,19.25,699802.0
2015-02-03,19.19,19.665,19.1199,19.52,750239.0
2015-02-04,19.5,19.58,19.3,19.31,889108.0
