date,open,high,low,close,volume
2017-06-09,18.36,18.45,17.56,18.39,276136.0
2017-06-12,18.49,18.52,18.1189,18.3,58408.0
2017-06-13,18.27,18.39,18.02,18.23,30775.0
2017-06-14,18.09,18.32,18.0,18.0,24218.0
2017-06-15,18.0,18.19,18.0,18.1,19687.0
2017-06-16,18.19,18.4757,18.01,18.44,13170.0
2017-06-19,18.2,18.4499,18.01,18.05,18938.0
2017-06-20,18.12,18.3028,18.0195,18.1,12872.0
2017-06-21,18.1531,18.19,18.052,18.052,23946.0
2017-06-22,18.19,18.19,18.0,18.02,22271.0
2017-06-23,18.0,18.3186,17.98,18.28,36596.0
2017-06-26,18.34,18.34,17.94,18.33,54325.0
2017-06-27,18.4,18.4,17.94,18.0,29965.0
2017-06-28,17.95,18.24,17.7,18.24,86009.0
2017-06-29,17.78,18.1,17.78,18.05,45430.0
2017-06-30,18.0,18.75,18.0,18.75,33293.0
2017-07-03,18.55,18.75,18.33,18.75,26757.0
2017-07-05,18.08,19.0,18.08,19.0,24073.0
2017-07-06,18.43,18.9471,18.43,18.75,20928.0
2017-07-07,18.7,18.8699,18.551,18.85,17515.0
2017-07-10,18.87,18.87,18.0,18.0,17946.0
2017-07-11,18.0,18.2,18.0,18.2,3456.0
2017-07-12,18.105,18.3972,18.0,18.01,9660.0
2017-07-13,18.1044,18.1044,17.6301,17.9,11263.0
2017-07-14,17.76,18.0,17.64,18.0,9821.0
2017-07-17,17.82,18.2466,17.4944,17.51,12201.0
2017-07-18,17.37,17.95,17.0,17.34,19274.0
2017-07-19,17.35,17.35,16.5,17.25,20207.0
2017-07-20,16.94,17.1305,16.75,16.9,27590.0
2017-07-21,16.85,17.2,16.8,17.1025,16644.0
2017-07-24,17.1001,17.35,17.1,17.35,24261.0
2017-07-25,17.35,18.45,17.35,18.45,22362.0
2017-07-26,18.3,18.3,17.3501,17.55,16955.0
2017-07-27,17.5,17.75,17.36,17.75,13216.0
2017-07-28,17.75,18.243,17.55,17.7,8577.0
2017-07-31,17.7501,18.39,17.35,17.55,8539.0
2017-08-01,17.99,18.2,17.25,18.2,19211.0
2017-08-02,18.2,18.2,17.36,17.95,15316.0
2017-08-03,17.52,18.0,17.3185,17.54,17810.0
2017-08-04,17.9,18.373,17.04,17.5,10118.0
2017-08-07,17.36,17.9082,17.02,17.35,14494.0
2017-08-08,17.25,17.35,16.95,17.0601,14530.0
