date,open,high,low,close,volume
2007-04-19,14.0,14.6,14.0,14.4,8628100.0
2007-04-20,14.35,14.95,14.35,14.77,2351200.0
2007-04-23,14.95,14.95,14.59,14.83,178800.0
2007-04-24,14.88,15.0,14.65,15.0,239200.0
2007-04-25,14.9,15.0,14.8,14.9,311500.0
2007-04-26,14.98,14.99,14.82,14.94,146000.0
2007-04-27,15.0,15.0,14.86,14.91,98400.0
2007-04-30,14.87,15.0,14.87,14.98,288200.0
2007-05-01,14.98,15.2,14.95,15.0,1052600.0
2007-05-02,15.02,15.07,14.91,15.02,196400.0
2007-05-03,15.0,15.05,14.8,14.9,271100.0
2007-05-04,14.9,14.99,14.9,14.9,43000.0
2007-05-07,14.9,14.99,14.84,14.88,92000.0
2007-05-08,14.9,15.0,14.77,14.79,35500.0
2007-05-09,14.9,14.94,14.6,14.89,89900.0
2007-05-10,14.9,14.93,14.77,14.91,46200.0
2007-05-11,14.8,14.9,14.75,14.899,42900.0
2007-05-14,14.841,14.9,14.79,14.851,30000.0
2007-05-15,14.92,14.93,14.79,14.79,120400.0
2007-05-16,14.89,14.9,14.63,14.75,243900.0
2007-05-17,14.75,14.75,14.42,14.49,74200.0
2007-05-18,14.58,14.75,14.49,14.57,28300.0
2007-05-21,14.5701,14.71,14.4,14.42,53500.0
2007-05-22,14.5,14.7,14.5,14.55,46600.0
2007-05-23,14.54,14.69,14.4,14.4,92900.0
2007-05-24,14.5,14.59,14.35,14.49,21800.0
2007-05-25,14.35,14.501,14.35,14.4,9900.0
2007-05-29,14.4,14.59,14.4,14.5,25400.0
2007-05-30,14.65,15.0,14.55,14.949,250900.0
2007-05-31,14.977,15.09,14.8,14.97,103400.0
2007-06-01,14.97,15.17,14.86,14.95,93100.0
2007-06-04,14.96,15.1,14.89,14.95,75200.0
2007-06-05,15.0,15.02,14.83,14.92,49500.0
2007-06-06,14.73,15.059,14.7,14.98,131600.0
2007-06-07,15.06,15.06,14.89,15.0,231900.0
2007-06-08,15.0,15.06,14.87,14.95,119800.0
2007-06-11,14.9501,15.05,14.95,15.0,115400.0
2007-06-12,15.0,15.01,14.7,14.95,99600.0
2007-06-13,15.0,15.05,14.87,15.03,181500.0
2007-06-14,15.05,15.1,14.72,14.84,78900.0
2007-06-15,14.8,15.05,14.8,15.0,24100.0
2007-06-18,14.98,15.05,14.98,14.99,21200.0
2007-06-19,14.99,15.05,14.55,14.79,55500.0
2007-06-20,14.98,15.0,14.67,14.84,63000.0
2007-06-21,14.87,14.87,14.41,14.45,75400.0
2007-06-22,14.46,14.58,14.06,14.06,1777400.0
2007-06-25,14.25,14.64,14.17,14.32,224900.0
2007-06-26,14.45,14.45,14.07,14.18,160000.0
2007-06-27,14.18,14.52,14.18,14.49,47300.0
2007-06-28,14.52,14.57,14.25,14.26,50700.0
2007-06-29,14.34,14.38,14.04,14.04,72600.0
2007-07-02,14.1,14.57,14.02,14.48,154500.0
