date,open,high,low,close,volume
2025-10-08,4.5,5.0399,3.47,4.03,6989376.0
2025-10-09,3.9,4.88,3.9,4.77,1568170.0
2025-10-10,4.89,4.8908,4.11,4.35,3203945.0
2025-10-13,4.57,4.57,4.07,4.4,3172157.0
2025-10-14,4.45,4.7,4.37,4.7,2844869.0
2025-10-15,4.7,4.7,4.2,4.64,6280636.0
2025-10-16,4.64,4.66,4.31,4.41,2546212.0
2025-10-17,4.4,4.4,3.8701,4.18,604894.0
2025-10-20,4.18,4.3,4.18,4.28,250184.0
2025-10-21,4.22,4.39,4.09,4.3,5143987.0
2025-10-22,4.4,4.55,4.24,4.38,4910401.0
2025-10-23,4.5,4.68,4.42,4.61,3764084.0
2025-10-24,4.71,4.7394,4.35,4.64,1646168.0
2025-10-27,4.6,4.7,4.4,4.7,2403966.0
2025-10-28,4.7,4.8325,4.43,4.82,2526587.0
2025-10-29,4.82,4.94,4.7,4.93,1809304.0
2025-10-30,5.0,5.45,5.0,5.45,7867223.0
2025-10-31,5.45,5.525,5.21,5.41,1489187.0
2025-11-03,5.36,5.67,5.2508,5.63,1496103.0
2025-11-04,5.63,5.88,5.51,5.79,4626061.0
2025-11-05,5.9,6.13,5.8,6.07,3260850.0
2025-11-06,6.19,6.43,5.7,6.09,4475735.0
2025-11-07,6.28,6.28,5.0,5.34,2325298.0
2025-11-10,5.5,5.75,5.03,5.38,471710.0
2025-11-11,5.3,5.425,5.03,5.3,275672.0
2025-11-12,5.3,5.4,4.11,4.52,1452252.0
2025-11-13,4.19,4.41,3.35,3.58,2576763.0
2025-11-14,3.58,3.94,3.5,3.81,706681.0
2025-11-17,3.97,4.605,3.645,4.33,439102.0
2025-11-18,4.17,4.52,3.9,4.21,514022.0
2025-11-19,4.2,4.3,4.05,4.29,161936.0
2025-11-20,4.29,4.45,4.09,4.44,339848.0
2025-11-21,4.4,4.75,4.3001,4.55,203883.0
2025-11-24,4.55,5.0,4.55,4.59,1288760.0
2025-11-25,4.6,4.71,4.2,4.27,136694.0
2025-11-26,4.07,4.24,3.9,3.9,130357.0
2025-11-28,3.97,4.55,3.91,4.32,322177.0
2025-12-01,4.44,4.83,4.33,4.47,2527449.0
2025-12-02,4.58,4.85,4.43,4.66,4100637.0
