date,open,high,low,close,volume
2001-06-28,10.01,11.85,10.01,11.22,4157700.0
2001-06-29,11.14,12.0,10.93,11.05,431000.0
2001-07-02,11.1,11.25,10.9,11.0,163700.0
2001-07-03,10.96,11.4,10.96,11.2,104100.0
2001-07-05,11.34,11.42,11.01,11.06,125700.0
2001-07-06,10.96,11.25,10.96,11.09,66400.0
2001-07-09,11.02,11.23,11.0,11.12,228700.0
2001-07-10,11.15,11.23,10.95,11.1,167900.0
2001-07-11,10.96,11.13,10.95,11.0,296000.0
2001-07-12,11.02,11.5,11.02,11.5,140900.0
2001-07-13,11.45,11.45,11.18,11.21,184800.0
2001-07-16,11.09,11.2,10.98,11.05,266100.0
2001-07-17,11.0,12.25,10.8,12.01,608300.0
2001-07-18,12.08,13.05,11.9,12.85,294800.0
2001-07-19,12.95,13.51,12.66,13.07,92700.0
2001-07-20,13.05,13.9,12.8,13.33,97300.0
2001-07-23,13.4,14.0,13.28,13.92,61100.0
2001-07-24,13.8,13.8,12.95,13.11,224000.0
2001-07-25,13.22,13.98,13.17,13.6,71300.0
2001-07-26,13.62,13.87,13.55,13.6,74800.0
2001-07-27,13.68,13.68,13.12,13.25,49900.0
2001-07-30,13.08,13.29,12.74,13.02,145600.0
2001-07-31,13.02,13.71,12.73,13.45,177600.0
2001-08-01,13.7,14.7,13.65,14.0,311900.0
2001-08-02,14.29,14.75,13.95,14.6,110400.0
2001-08-03,14.74,15.89,14.0,14.98,173800.0
2001-08-06,14.85,14.91,13.99,14.25,37600.0
2001-08-07,14.25,14.29,13.45,13.88,35000.0
2001-08-08,14.0,14.15,13.56,13.76,33800.0
2001-08-09,13.51,13.66,12.7,13.1,79900.0
2001-08-10,13.1,13.2,12.7,13.2,19300.0
2001-08-13,12.76,14.28,12.76,14.28,32600.0
2001-08-14,14.1,14.54,14.1,14.4,33700.0
2001-08-15,14.25,14.3,13.8,13.8,29200.0
2001-08-16,13.8,14.25,13.75,14.25,13600.0
2001-08-17,14.3,14.3,13.96,14.06,24500.0
2001-08-20,13.91,14.0,13.85,14.0,13500.0
2001-08-21,13.8,14.24,13.75,14.0,18500.0
2001-08-22,14.0,14.0,13.75,13.95,19700.0
2001-08-23,13.95,14.0,13.8,13.9,15600.0
2001-08-24,14.04,14.05,13.88,13.92,57200.0
2001-08-27,13.92,14.05,13.15,13.38,37100.0
2001-08-28,13.25,14.05,12.55,13.6,72200.0
2001-08-29,13.6,13.7,13.58,13.62,25000.0
2001-08-30,14.1,14.1,13.65,14.0,51400.0
2001-08-31,14.02,14.13,13.9,14.04,55700.0
2001-09-04,14.19,14.2,13.95,13.95,31800.0
2001-09-05,13.85,13.85,13.63,13.7,74200.0
2001-09-06,13.35,13.35,12.65,12.73,35800.0
2001-09-07,12.7,12.73,11.35,11.35,33900.0
2001-09-10,11.69,11.69,10.7,11.11,19700.0
2001-09-17,10.97,10.97,9.05,10.1,30700.0
2001-09-18,9.25,9.8,9.25,9.8,35900.0
