date,open,high,low,close,volume
2014-03-21,8.32,8.47,7.2,7.25,637750.0
2014-03-24,7.4,7.5,6.75,6.76,112250.0
2014-03-25,7.24,7.29,7.0,7.13,94250.0
2014-03-26,7.15,7.24,6.8,6.93,56250.0
2014-03-27,7.24,7.24,6.75,6.75,70750.0
2014-03-28,6.77,7.05,6.651,6.92,65750.0
2014-03-31,6.99,7.05,6.8,6.84,22000.0
2014-04-01,6.79,6.85,6.51,6.75,80750.0
2014-04-02,6.75,7.0,6.75,7.0,42000.0
2014-04-03,7.06,7.09,6.81,6.99,40750.0
2014-04-04,6.92,6.98,6.8,6.9,16000.0
2014-04-07,7.15,7.15,6.8,6.89,17000.0
2014-04-08,6.78,7.04,6.78,6.99,19000.0
2014-04-09,6.89,7.15,6.89,7.14,58000.0
2014-04-10,7.12,7.13,6.78,7.05,23750.0
2014-04-11,6.97,7.15,6.97,7.15,18500.0
2014-04-14,7.13,7.15,6.97,7.03,11000.0
2014-04-15,6.94,6.99,6.8,6.845,50500.0
2014-04-16,6.83,7.04,6.65,6.76,43250.0
2014-04-17,6.83,7.02,6.75,7.0,28000.0
2014-04-21,6.84,6.94,6.8,6.93,20750.0
2014-04-22,6.86,6.88,6.8,6.87,14500.0
2014-04-23,6.87,6.99,6.87,6.99,11250.0
2014-04-24,6.995,6.995,6.85,6.96,13000.0
2014-04-25,6.88,6.94,6.8,6.94,26500.0
2014-04-28,6.83,6.97,6.7,6.97,23500.0
2014-04-29,6.81,6.93,6.76,6.91,18000.0
2014-04-30,6.8,6.9,6.67,6.847,142500.0
2014-05-01,6.98,6.98,6.431,6.74,24500.0
2014-05-02,6.85,6.85,6.4,6.45,26500.0
2014-05-05,6.63,6.63,6.31,6.35,9250.0
2014-05-06,6.39,6.6,6.39,6.44,7500.0
2014-05-07,6.4,6.401,6.2,6.28,11250.0
2014-05-08,6.07,6.25,5.97,6.19,21000.0
2014-05-09,6.22,6.41,6.12,6.3,11000.0
2014-05-12,6.3,6.53,6.3,6.37,5000.0
2014-05-13,6.4,6.42,6.15,6.3,3500.0
2014-05-14,6.38,6.9,6.15,6.64,65500.0
2014-05-15,6.7,6.95,6.65,6.7,30500.0
2014-05-16,6.85,6.85,6.601,6.601,16000.0
2014-05-19,6.55,6.66,6.55,6.55,19000.0
2014-05-20,6.6,6.6,6.55,6.56,5000.0
2014-05-21,6.56,6.83,6.55,6.83,23500.0
2014-05-22,6.7,6.7,6.34,6.34,3750.0
2014-05-23,6.52,6.56,6.31,6.31,23500.0
2014-05-27,6.36,6.36,6.1,6.29,21500.0
2014-05-28,6.319,6.32,5.97,6.06,42250.0
2014-05-29,6.05,6.33,6.05,6.32,26500.0
2014-05-30,6.45,6.45,6.35,6.35,5750.0
2014-06-02,6.31,6.622,6.31,6.51,4000.0
2014-06-03,6.55,6.79,6.55,6.646,5000.0
2014-06-04,6.56,6.74,6.26,6.27,20250.0
2014-06-05,6.369,6.37,6.32,6.356,4500.0
2014-06-06,6.36,6.73,6.36,6.42,8000.0
2014-06-09,6.3,6.706,6.3,6.58,11750.0
2014-06-10,6.31,6.8,6.31,6.78,7500.0
2014-06-11,6.74,6.74,6.52,6.68,1500.0
2014-06-12,6.72,6.85,6.63,6.75,11250.0
2014-06-13,6.31,6.795,6.31,6.74,15750.0
2014-06-16,6.85,6.85,6.5,6.84,12500.0
2014-06-17,6.76,6.76,6.5,6.64,9500.0
2014-06-18,6.85,6.85,6.365,6.54,21750.0
2014-06-19,6.75,6.75,6.5,6.61,18500.0
2014-06-20,6.5,6.63,5.75,5.75,52500.0
2014-06-23,6.2,6.273,5.9,6.0,38000.0
2014-06-24,6.15,6.48,6.0,6.217,12500.0
2014-06-25,6.29,6.45,6.0,6.09,22750.0
2014-06-26,6.449,6.499,6.3,6.47,12000.0
2014-06-27,6.47,6.5,6.27,6.27,24250.0
2014-06-30,6.49,6.49,5.96,5.99,32000.0
2014-07-01,6.33,6.33,6.01,6.13,1750.0
2014-07-02,5.993,6.15,5.993,6.0,6500.0
2014-07-03,5.98,6.17,5.98,6.17,250.0
2014-07-07,6.21,6.22,6.198,6.198,1500.0
2014-07-08,6.179,6.2,6.0,6.0,6000.0
2014-07-09,5.99,6.06,5.95,5.95,1500.0
2014-07-10,6.0,6.0,5.8,5.8,10500.0
2014-07-11,5.831,6.09,5.831,5.9,18000.0
2014-07-14,6.0,6.49,5.85,5.87,20750.0
2014-07-15,5.97,6.201,5.75,5.75,21000.0
2014-07-16,6.38,6.38,5.8,6.0,11000.0
2014-07-17,6.0,6.03,5.81,5.82,11500.0
2014-07-18,5.93,5.93,5.52,5.52,62000.0
2014-07-21,5.53,5.53,5.25,5.41,10500.0
2014-07-22,5.5,5.5,5.25,5.29,24000.0
2014-07-23,5.239,5.32,5.0,5.05,49000.0
2014-07-24,5.03,5.98,5.03,5.42,11500.0
2014-07-25,5.75,6.13,5.75,6.02,26500.0
2014-07-28,6.35,6.35,5.6,5.63,8500.0
2014-07-29,5.62,6.16,5.6,6.16,16500.0
2014-07-30,6.051,6.08,5.7,5.7,8500.0
2014-07-31,5.5,5.69,5.4,5.41,9000.0
2014-08-01,5.5,5.75,5.44,5.6,8250.0
2014-08-04,5.86,5.9,5.4,5.57,6000.0
2014-08-05,5.4,5.71,5.2,5.2,21000.0
2014-08-06,5.75,5.84,5.25,5.3,29750.0
2014-08-07,5.24,5.76,5.23,5.33,1750.0
2014-08-08,5.22,5.35,5.2,5.2,41500.0
2014-08-11,5.31,5.42,5.31,5.42,750.0
2014-08-12,5.4,5.42,5.25,5.4,4750.0
2014-08-13,5.32,5.59,5.16,5.16,8500.0
2014-08-14,5.45,5.55,5.3,5.33,6250.0
2014-08-15,5.32,5.4,5.25,5.4,14250.0
2014-08-18,5.25,5.45,5.25,5.36,9000.0
2014-08-19,5.31,5.47,5.25,5.43,18500.0
2014-08-20,5.36,5.77,5.355,5.6,32000.0
2014-08-21,5.57,5.57,5.21,5.46,27250.0
2014-08-22,5.59,5.617,5.21,5.24,34000.0
2014-08-25,5.48,5.496,5.06,5.21,15000.0
2014-08-26,5.26,5.35,5.09,5.2,13000.0
2014-08-27,5.31,5.31,5.02,5.02,21250.0
2014-08-28,5.19,5.19,5.0,5.06,16500.0
2014-08-29,5.14,5.5,5.07,5.2,38500.0
2014-09-02,5.37,5.75,5.37,5.75,26000.0
2014-09-03,5.78,5.78,5.52,5.74,23250.0
2014-09-04,5.75,5.75,5.29,5.29,10000.0
2014-09-05,5.52,5.52,5.26,5.4,7000.0
2014-09-08,5.47,5.47,5.29,5.36,1750.0
2014-09-09,5.42,5.479,5.29,5.46,6750.0
2014-09-10,5.48,5.48,5.25,5.25,7500.0
2014-09-11,5.28,5.46,5.21,5.3,13500.0
2014-09-12,4.96,5.4,4.85,5.06,46500.0
2014-09-15,5.03,5.08,4.98,4.98,3000.0
2014-09-16,4.88,4.94,4.7,4.7,28500.0
2014-09-17,4.8,4.87,4.52,4.6,13000.0
2014-09-18,4.05,4.83,4.05,4.6,12000.0
2014-09-19,4.36,4.8,4.36,4.6,10250.0
2014-09-22,4.81,5.0,4.63,4.73,34000.0
2014-09-23,5.05,5.05,4.6,4.6,9500.0
2014-09-24,4.7,4.94,4.4,4.93,4250.0
2014-09-25,5.04,5.04,4.83,5.0,6500.0
2014-09-26,5.0,5.0,4.65,4.82,5750.0
2014-09-29,4.69,4.7,4.61,4.64,1750.0
2014-09-30,4.63,4.87,4.63,4.84,4750.0
2014-10-01,5.04,5.65,5.04,5.65,59500.0
2014-10-02,5.7,5.7,5.376,5.5,26250.0
2014-10-03,4.82,5.65,4.82,5.49,33500.0
2014-10-06,5.62,5.62,5.0,5.0,12500.0
2014-10-07,4.95,5.05,4.63,4.73,9750.0
2014-10-08,4.49,5.05,4.45,4.853,28250.0
2014-10-09,4.98,4.98,4.28,4.68,23500.0
2014-10-10,4.5,4.621,4.32,4.46,23500.0
2014-10-13,4.49,5.49,4.49,4.9,130250.0
2014-10-14,5.35,5.35,4.36,4.46,56750.0
2014-10-15,4.32,4.5,4.03,4.328,33500.0
2014-10-16,4.15,4.72,4.15,4.71,16750.0
2014-10-17,4.53,4.73,4.24,4.24,14250.0
2014-10-20,4.25,4.86,4.204,4.591,17000.0
2014-10-21,4.3,5.0,4.3,4.94,17750.0
2014-10-22,4.631,4.9,4.53,4.73,12250.0
2014-10-23,4.55,4.874,4.546,4.63,6250.0
2014-10-24,4.66,4.9,4.63,4.68,7250.0
2014-10-27,4.7,4.72,4.63,4.64,7000.0
2014-10-28,4.63,4.75,4.35,4.36,27000.0
2014-10-29,4.199,4.43,4.12,4.23,45000.0
2014-10-30,4.11,4.45,4.021,4.28,11500.0
2014-10-31,4.32,4.39,4.1,4.258,6000.0
2014-11-03,4.2,4.34,4.06,4.18,3500.0
2014-11-04,4.394,4.394,4.2,4.25,6250.0
2014-11-05,4.26,4.36,4.26,4.35,5000.0
2014-11-06,4.2,4.4,4.2,4.31,4750.0
2014-11-07,4.23,4.38,4.23,4.29,16250.0
2014-11-10,4.26,4.362,4.25,4.35,12000.0
2014-11-11,4.29,4.375,4.21,4.32,13500.0
2014-11-12,4.35,5.36,4.32,4.83,129500.0
2014-11-13,4.56,4.59,4.2,4.4,53750.0
2014-11-14,4.28,4.48,4.2,4.39,39000.0
2014-11-17,4.34,4.47,4.34,4.47,17500.0
2014-11-18,4.5,4.55,4.434,4.51,5750.0
2014-11-19,4.31,4.55,4.28,4.55,5000.0
2014-11-20,4.35,4.35,4.09,4.14,19500.0
2014-11-21,4.06,4.13,3.91,4.01,15000.0
2014-11-24,3.96,4.1,3.96,4.08,15750.0
2014-11-25,4.05,4.13,4.0,4.0,24000.0
2014-11-26,4.0,4.13,3.91,3.99,62000.0
2014-11-28,4.0,4.09,3.9,4.08,19000.0
2014-12-01,4.068,4.2,3.93,4.17,56500.0
2014-12-02,4.09,4.163,4.07,4.1,3000.0
2014-12-03,4.13,4.2,4.08,4.13,6250.0
2014-12-04,4.05,4.113,4.05,4.05,3500.0
2014-12-05,4.15,4.168,3.98,4.05,15750.0
2014-12-08,4.24,4.24,4.019,4.1,5500.0
2014-12-09,4.19,4.19,4.0,4.14,3000.0
2014-12-10,4.0,4.077,4.0,4.03,1500.0
2014-12-11,4.02,4.17,4.0,4.0,15250.0
2014-12-12,4.0,4.03,3.83,3.83,23250.0
2014-12-15,3.93,4.09,3.7,3.77,12000.0
2014-12-16,3.78,3.78,3.408,3.57,13250.0
2014-12-17,3.55,3.63,3.55,3.63,2500.0
2014-12-18,3.52,3.53,3.51,3.525,2000.0
