date,open,high,low,close,volume
2018-12-14,16.81,17.529,16.5,16.5,597942.0
2018-12-17,16.5,16.96,16.2,16.49,198979.0
2018-12-18,16.35,16.58,16.27,16.5,143322.0
2018-12-19,16.51,16.51,16.3,16.3,85452.0
2018-12-20,16.4,16.45,15.89,16.43,158696.0
2018-12-21,16.5,16.5,15.49,16.34,43303.0
2018-12-24,15.97,15.97,15.021,15.15,32571.0
2018-12-26,15.45,15.45,15.25,15.26,8111.0
2018-12-27,15.95,15.95,15.0,15.02,6447.0
2018-12-28,15.0548,15.74,15.0548,15.74,10652.0
2018-12-31,15.56,15.6698,15.0656,15.5066,11944.0
2019-01-02,15.5,15.5,14.33,14.78,35971.0
2019-01-03,14.85,15.6,14.52,14.57,20952.0
2019-01-04,14.9,14.9,13.51,14.0,30838.0
2019-01-07,14.15,14.15,13.308,13.786,6993.0
2019-01-08,13.74,14.2,13.03,13.18,59193.0
2019-01-09,13.02,13.19,12.003,12.12,67124.0
2019-01-10,12.0,12.19,11.011,11.27,49667.0
2019-01-11,11.7,11.7,10.68,11.08,61102.0
2019-01-14,11.05,11.05,9.905,10.05,84745.0
2019-01-15,10.3,13.124,10.3,12.3,220616.0
2019-01-16,12.69,13.93,12.063,13.5,168154.0
2019-01-17,14.0,14.8,12.49,12.6,162911.0
2019-01-18,12.65,13.5,12.1,13.34,66853.0
2019-01-22,13.36,13.36,11.8208,12.2,142495.0
2019-01-23,12.07,13.58,12.07,12.63,37536.0
2019-01-24,12.9,13.5,12.13,13.5,71361.0
2019-01-25,13.33,13.33,12.572,12.64,70607.0
2019-01-28,12.95,12.95,12.19,12.36,45841.0
2019-01-29,12.58,12.66,12.21,12.56,43247.0
2019-01-30,12.49,12.68,12.15,12.61,30248.0
2019-01-31,12.745,12.75,12.383,12.7,38684.0
2019-02-01,12.7,12.748,12.503,12.56,3089.0
2019-02-04,12.7,13.248,12.6,13.0,19550.0
2019-02-05,13.01,13.35,12.88,13.35,14304.0
2019-02-06,13.35,13.5,12.46,13.0,33492.0
2019-02-07,12.975,12.975,12.4,12.41,11092.0
2019-02-08,12.72,13.09,12.472,12.978,20197.0
2019-02-11,12.69,12.764,12.52,12.535,8484.0
2019-02-12,12.51,12.927,12.51,12.68,4527.0
2019-02-13,12.726,12.88,12.55,12.75,59899.0
2019-02-14,12.73,12.81,12.56,12.6,26153.0
2019-02-15,12.5,12.95,12.5,12.75,59842.0
2019-02-19,13.06,13.28,13.0,13.28,60461.0
2019-02-20,13.27,14.62,13.27,14.519,100974.0
2019-02-21,14.5,14.8489,14.1601,14.51,28414.0
2019-02-22,14.5625,16.299,14.5625,16.12,112038.0
2019-02-25,17.95,18.384,16.46,16.9,165724.0
2019-02-26,16.58,16.694,15.801,16.37,62826.0
2019-02-27,16.19,16.98,16.18,16.64,33860.0
2019-02-28,16.64,17.5,16.326,16.83,52751.0
2019-03-01,17.06,17.415,16.5,16.93,33030.0
2019-03-04,17.08,17.539,16.86,17.16,56107.0
2019-03-05,17.42,18.4,17.31,17.46,43106.0
2019-03-06,17.45,17.95,16.86,16.99,92100.0
2019-03-07,16.88,17.64,15.448,15.76,53497.0
2019-03-08,15.37,15.37,14.2,14.51,77224.0
