date,open,high,low,close,volume
2024-05-15,5.05,6.04,4.02,4.23,2379278.0
2024-05-16,4.4,5.77,4.23,4.38,1090945.0
2024-05-17,4.7,5.16,3.6314,4.19,686391.0
2024-05-20,4.32,4.4799,3.61,3.65,379088.0
2024-05-21,3.77,3.9,3.31,3.55,120444.0
2024-05-22,3.51,3.6871,3.21,3.52,26490.0
2024-05-23,3.5,4.28,3.4001,4.06,206739.0
2024-05-24,4.06,4.46,3.93,4.1584,147912.0
2024-05-28,4.02,4.1,3.65,3.735,236599.0
2024-05-29,3.73,3.8,3.42,3.7,214156.0
2024-05-30,3.56,3.75,3.5,3.5897,62031.0
2024-05-31,3.59,3.75,3.4,3.44,104430.0
2024-06-03,3.53,3.7,3.3859,3.675,48858.0
2024-06-04,3.7,3.96,3.4351,3.6539,43097.0
2024-06-05,3.93,3.93,3.68,3.72,22417.0
2024-06-06,3.8,3.82,3.52,3.6181,20353.0
2024-06-07,3.61,3.89,3.394,3.84,47562.0
2024-06-10,3.8,3.8,3.5937,3.7784,13976.0
2024-06-11,3.62,3.7925,3.4,3.7536,90437.0
2024-06-12,3.54,3.7219,3.53,3.7219,16749.0
2024-06-13,3.61,3.7834,3.56,3.73,8588.0
2024-06-14,3.65,3.778,3.55,3.55,5360.0
2024-06-17,3.756,3.756,3.41,3.6299,34448.0
2024-06-18,3.67,3.67,3.3,3.42,32933.0
2024-06-20,3.38,3.5997,3.2,3.4222,18682.0
2024-06-21,3.35,3.54,3.04,3.2,14676.0
2024-06-24,3.17,3.5,2.9973,3.41,97322.0
2024-06-25,3.35,3.66,3.23,3.66,71683.0
2024-06-26,3.69,3.8,3.54,3.8,67558.0
2024-06-27,3.75,3.8192,3.68,3.75,35924.0
2024-06-28,3.78,3.86,3.65,3.83,32040.0
2024-07-01,3.8999,4.18,3.83,3.85,38542.0
2024-07-02,3.9808,4.1,3.9,4.0,11788.0
2024-07-03,3.86,4.27,3.86,4.2,29254.0
2024-07-05,4.24,4.64,4.0801,4.34,75242.0
2024-07-08,4.57,4.6,3.6501,3.81,192433.0
2024-07-09,3.95,4.3,3.54,3.6,110917.0
2024-07-10,3.8,3.8,3.4594,3.5,80035.0
2024-07-11,3.81,3.9,3.35,3.395,63144.0
2024-07-12,3.48,3.53,3.05,3.07,98796.0
2024-07-15,3.15,3.6,3.11,3.27,117024.0
2024-07-16,3.38,3.45,3.11,3.26,69924.0
2024-07-17,3.39,3.4,3.12,3.29,46822.0
2024-07-18,3.37,3.37,3.005,3.12,16417.0
2024-07-19,3.14,3.8,3.12,3.58,233870.0
2024-07-22,3.73,3.78,3.5,3.58,35435.0
2024-07-23,3.57,3.6,3.2,3.295,34094.0
2024-07-24,3.2,3.49,3.1,3.41,19878.0
2024-07-25,3.34,3.35,3.28,3.3059,2574.0
2024-07-26,3.31,3.36,3.31,3.33,5194.0
2024-07-29,3.39,3.436,3.3301,3.436,12875.0
2024-07-30,3.39,3.4499,3.35,3.44,1944.0
2024-07-31,3.45,3.5884,3.4,3.51,4643.0
2024-08-01,3.5098,3.6,3.1,3.21,39661.0
2024-08-02,3.25,3.58,3.16,3.265,15221.0
2024-08-05,3.2,3.48,2.9001,3.3,64029.0
2024-08-06,3.33,3.35,3.16,3.32,12905.0
2024-08-07,3.2,3.3696,2.94,2.94,12688.0
2024-08-08,3.41,3.41,2.77,2.81,46830.0
2024-08-09,2.83,2.9,2.48,2.5,31047.0
