date,open,high,low,close,volume
2024-06-21,4.0,4.25,3.03,3.9,967378.0
2024-06-24,3.53,3.74,3.12,3.7,275121.0
2024-06-25,3.6,3.68,3.5,3.575,47299.0
2024-06-26,3.57,3.9,3.4201,3.675,107955.0
2024-06-27,3.67,3.83,3.51,3.51,75112.0
2024-06-28,3.6,3.6,3.24,3.25,59594.0
2024-07-01,3.38,3.4814,3.0101,3.27,63932.0
2024-07-02,3.2,3.2984,3.12,3.22,51704.0
2024-07-03,3.25,3.32,3.25,3.29,13656.0
2024-07-05,3.34,3.4199,3.2701,3.37,16484.0
2024-07-08,3.46,3.49,3.3907,3.42,10326.0
2024-07-09,3.37,3.4193,3.28,3.3,23772.0
2024-07-10,3.36,3.3877,3.1,3.2784,27985.0
2024-07-11,3.25,3.28,3.2,3.21,6176.0
2024-07-12,3.24,3.3,3.22,3.26,15032.0
2024-07-15,3.3,3.3,3.2,3.2559,16237.0
2024-07-16,3.2899,3.498,3.24,3.3597,29898.0
2024-07-17,3.35,3.47,3.35,3.44,18449.0
2024-07-18,3.49,3.628,3.3958,3.4795,12763.0
2024-07-19,3.47,3.5,3.36,3.38,7343.0
2024-07-22,3.42,3.45,3.215,3.22,39601.0
2024-07-23,3.22,3.4283,3.22,3.3441,16835.0
2024-07-24,3.3581,3.3592,3.25,3.35,5993.0
2024-07-25,3.3388,3.3388,3.15,3.2603,21998.0
2024-07-26,3.24,3.29,3.24,3.2876,5958.0
2024-07-29,3.22,3.2893,3.2,3.2819,5915.0
2024-07-30,3.29,3.29,3.16,3.25,8836.0
2024-07-31,3.2,3.27,3.2,3.2695,8687.0
2024-08-01,3.28,3.29,3.1,3.2086,23606.0
2024-08-02,3.21,3.2482,3.15,3.2482,12153.0
2024-08-05,3.2,3.2,3.02,3.1365,15725.0
2024-08-06,3.09,3.29,3.08,3.26,2219.0
2024-08-07,3.17,3.2678,3.1,3.25,1770.0
2024-08-08,3.1677,3.2,3.09,3.1809,4180.0
2024-08-09,3.1565,3.2493,3.11,3.205,2208.0
2024-08-12,3.2595,3.2595,2.7,2.8846,38106.0
2024-08-13,2.92,3.0846,2.79,3.08,7787.0
2024-08-14,3.09,3.09,2.91,2.9993,16094.0
2024-08-15,3.0,3.07,3.0,3.06,2970.0
2024-08-16,3.0,3.0467,2.8555,2.9997,8311.0
2024-08-19,2.9919,2.9919,2.95,2.9898,2256.0
2024-08-20,3.2201,3.2201,3.0901,3.18,1456.0
2024-08-21,3.12,3.2428,3.012,3.22,5248.0
2024-08-22,3.2698,3.29,2.87,3.01,9094.0
2024-08-23,3.249,3.249,3.249,3.249,481.0
2024-08-26,3.2,3.2458,3.2,3.2458,1564.0
