date,open,high,low,close,volume
2024-08-12,1.01,1.0259,1.0,1.0259,18169.0
2024-08-13,1.07,1.07,1.0238,1.05,9128.0
2024-08-14,1.05,1.05,1.02,1.02,4085.0
2024-08-15,1.02,1.0279,0.995,0.9999,21533.0
2024-08-16,0.9701,1.02,0.9701,1.005,4533.0
2024-08-19,1.025,1.03,1.01,1.01,5776.0
2024-08-20,1.03,1.03,0.98,0.98,15489.0
2024-08-21,1.02,1.02,0.9201,0.9844,21076.0
2024-08-22,1.01,1.06,0.98,1.04,39576.0
2024-08-23,1.04,1.82,1.03,1.6,3445818.0
2024-08-26,1.54,1.74,1.46,1.68,335840.0
2024-08-27,1.68,1.7099,1.51,1.54,158765.0
2024-08-28,1.53,1.53,1.01,1.21,97851.0
2024-08-29,1.2203,1.3,1.15,1.215,60964.0
2024-08-30,1.34,1.63,1.28,1.41,603826.0
2024-09-03,1.5,1.65,1.45,1.52,200685.0
2024-09-04,1.5,1.53,1.45,1.46,51963.0
2024-09-05,1.5,1.61,1.4403,1.58,103037.0
2024-09-06,1.57,1.72,1.57,1.63,156437.0
2024-09-09,1.63,1.67,1.49,1.49,88378.0
2024-09-10,1.49,1.61,1.49,1.56,40069.0
2024-09-11,1.54,1.552,1.48,1.49,46481.0
2024-09-12,1.45,1.45,1.2209,1.31,83576.0
2024-09-13,1.3,1.41,1.3,1.3601,52444.0
2024-09-16,1.37,1.49,1.37,1.42,44112.0
2024-09-17,1.4734,1.5538,1.4601,1.5,26431.0
2024-09-18,1.47,1.47,1.32,1.38,59225.0
2024-09-19,1.41,1.41,1.32,1.35,77784.0
2024-09-20,1.3601,1.39,1.34,1.35,26337.0
2024-09-23,1.35,1.35,1.3,1.31,18115.0
2024-09-24,1.3101,1.43,1.31,1.39,15569.0
2024-09-25,1.39,1.39,1.24,1.28,56411.0
2024-09-26,1.3,1.33,1.255,1.3,24573.0
2024-09-27,1.3001,1.31,1.23,1.28,79005.0
2024-09-30,1.28,1.55,1.25,1.51,200281.0
2024-10-01,1.54,1.54,1.31,1.36,89022.0
2024-10-02,1.38,1.52,1.38,1.42,68157.0
2024-10-03,1.38,1.4255,1.31,1.33,26452.0
2024-10-04,1.3301,1.5,1.31,1.33,50452.0
2024-10-07,1.37,1.38,1.16,1.27,82887.0
2024-10-08,1.27,1.27,1.125,1.1363,42502.0
2024-10-09,1.15,1.19,1.13,1.15,127084.0
2024-10-10,1.15,1.18,1.11,1.14,14702.0
2024-10-11,1.16,1.18,1.15,1.18,10593.0
2024-10-14,1.17,1.1856,1.128,1.155,39462.0
2024-10-15,1.17,1.18,1.12,1.15,276874.0
2024-10-16,1.17,1.25,1.15,1.2101,155003.0
2024-10-17,1.2,1.2,1.14,1.19,40082.0
2024-10-18,1.18,1.19,1.14,1.19,22310.0
2024-10-21,1.19,1.191,1.1,1.16,36972.0
2024-10-22,1.15,1.15,1.11,1.115,23884.0
2024-10-23,1.13,1.17,1.07,1.1,34069.0
2024-10-24,1.08,1.095,1.05,1.09,44039.0
2024-10-25,1.08,1.12,1.07,1.1,17497.0
2024-10-28,1.11,1.14,1.095,1.095,1019631.0
2024-10-29,1.09,1.1189,0.98,1.01,191148.0
2024-10-30,1.01,1.1681,0.9901,1.16,123189.0
2024-10-31,1.15,1.17,1.1004,1.13,19912.0
