date,open,high,low,close,volume
2020-11-17,9.75,9.76,9.75,9.76,20001.0
2020-11-18,9.8,9.8,9.8,9.8,250000.0
2020-11-19,9.8,9.8,9.8,9.8,0.0
2020-11-20,9.8,9.8,9.8,9.8,31.0
2020-11-23,9.8,9.8,9.8,9.8,41.0
2020-11-24,9.8,9.8,9.8,9.8,250000.0
2020-11-25,9.8,9.8,9.8,9.8,0.0
2020-11-27,10.8,10.8,9.8,9.8,11312.0
2020-11-30,9.99,9.99,9.99,9.99,876.0
2020-12-01,9.99,10.0,9.9,9.9,15923.0
2020-12-02,9.9,9.95,9.9,9.95,17327.0
2020-12-03,9.95,9.95,9.95,9.95,68.0
2020-12-04,9.95,9.9502,9.9,9.9,3204.0
2020-12-07,9.99,9.99,9.99,9.99,479.0
2020-12-08,9.99,10.03,9.99,9.99,9663.0
2020-12-09,10.0499,10.05,9.99,9.99,204621.0
2020-12-10,10.0,10.02,10.0,10.0,15545.0
2020-12-11,10.09,10.4,10.03,10.03,4445.0
2020-12-14,10.1985,10.1985,10.1985,10.1985,533.0
2020-12-15,10.1985,10.1985,10.1985,10.1985,94.0
2020-12-16,10.04,10.04,10.04,10.04,644.0
2020-12-17,10.1,10.1,10.045,10.045,737.0
2020-12-18,10.01,10.0856,10.01,10.0856,690.0
2020-12-21,10.0856,10.0856,10.0856,10.0856,181.0
2020-12-22,10.0856,10.0856,10.0856,10.0856,117.0
2020-12-23,10.05,10.3,10.05,10.28,11355.0
2020-12-24,10.05,10.255,10.05,10.0758,1811.0
2020-12-28,10.1,10.28,9.9,10.0386,29228.0
2020-12-29,10.0501,10.09,10.03,10.03,116070.0
2020-12-30,10.05,10.06,10.02,10.02,16916.0
2020-12-31,10.0,10.11,9.99,10.05,9776.0
2021-01-04,10.05,10.16,10.05,10.16,8147.0
2021-01-05,10.16,10.3,10.16,10.16,4886.0
2021-01-06,10.28,10.286,10.15,10.15,1101.0
2021-01-07,10.28,10.2875,10.145,10.155,10116.0
2021-01-08,10.25,10.268,10.25,10.25,6827.0
2021-01-11,10.06,10.2299,10.05,10.2299,1289.0
2021-01-12,10.29,10.3,10.29,10.3,2719.0
2021-01-13,10.1001,10.195,10.1001,10.195,912.0
2021-01-14,10.3,10.3,10.1901,10.1901,1186.0
2021-01-15,10.27,10.27,10.2,10.2,2908.0
2021-01-19,10.22,10.22,10.12,10.13,13901.0
2021-01-20,10.19,10.2806,10.19,10.2806,3606.0
2021-01-21,10.1201,10.3,10.1201,10.3,7752.0
2021-01-22,10.35,10.35,10.23,10.25,1124.0
2021-01-25,10.2499,10.2499,10.08,10.15,55168.0
2021-01-26,10.1601,10.24,10.1601,10.24,628.0
2021-01-27,10.07,10.19,10.07,10.13,5914.0
2021-01-28,10.14,10.1965,10.08,10.13,56490.0
2021-01-29,10.09,10.12,10.09,10.12,1604.0
2021-02-01,10.15,10.15,10.13,10.13,3516.0
2021-02-02,10.25,10.25,10.25,10.25,978.0
2021-02-03,10.24,10.25,10.24,10.24,4752.0
2021-02-04,10.24,10.7317,10.24,10.5,35512.0
2021-02-05,10.475,10.475,10.28,10.4,2190.0
2021-02-08,10.64,10.64,10.28,10.28,27681.0
2021-02-09,10.3,10.44,10.3,10.31,33476.0
2021-02-10,10.31,10.36,10.3,10.35,7242.0
2021-02-11,10.355,10.48,10.3,10.48,26828.0
2021-02-12,10.38,10.38,10.28,10.28,5327.0
2021-02-16,10.3,10.46,10.25,10.3,19608.0
2021-02-17,10.3,10.45,10.26,10.44,443.0
2021-02-18,10.3555,10.47,10.3,10.37,11117.0
2021-02-19,10.37,10.375,10.3,10.34,36049.0
2021-02-22,10.35,10.35,10.2701,10.29,141419.0
2021-02-23,10.26,10.2999,10.16,10.25,38902.0
2021-02-24,10.25,10.42,10.24,10.34,90273.0
2021-02-25,10.4,10.4,10.3,10.3,27993.0
2021-02-26,10.25,10.2535,10.25,10.25,8822.0
2021-03-01,10.28,10.28,10.22,10.22,101225.0
2021-03-02,10.15,10.22,9.93,10.0,122811.0
2021-03-03,10.06,10.06,9.78,9.78,27335.0
2021-03-04,9.85,9.95,9.85,9.92,13942.0
2021-03-05,9.87,9.87,9.85,9.85,2612.0
2021-03-08,9.98,10.08,9.94,9.97,3208.0
2021-03-09,9.97,9.9822,9.97,9.98,816.0
