date,open,high,low,close,volume
2000-12-15,13.63,16.5,13.44,16.0,4674200.0
2000-12-18,16.0,16.38,15.38,16.25,916700.0
2000-12-19,16.48,17.0,16.25,16.44,173400.0
2000-12-20,16.38,16.75,16.13,16.75,333100.0
2000-12-21,16.75,17.0,16.25,16.63,84800.0
2000-12-22,16.63,17.75,16.63,17.5,39700.0
2000-12-26,17.5,18.75,17.25,18.5,24000.0
2000-12-27,18.86,19.63,18.25,19.0,148000.0
2000-12-28,19.0,19.38,19.0,19.06,179000.0
2000-12-29,19.06,19.38,18.88,19.0,265300.0
2001-01-02,19.0,19.0,16.25,17.94,83700.0
2001-01-03,17.75,17.75,16.5,17.5,829700.0
2001-01-04,17.59,17.75,17.13,17.25,492800.0
2001-01-05,17.41,17.5,17.13,17.25,223400.0
2001-01-08,17.19,18.0,17.13,18.0,138800.0
2001-01-09,17.64,18.0,17.38,17.56,162200.0
2001-01-10,17.56,17.63,17.44,17.63,56300.0
2001-01-11,17.69,18.75,17.38,18.5,177700.0
2001-01-12,19.31,21.38,19.0,20.88,680400.0
2001-01-16,20.81,22.31,20.63,22.06,424300.0
2001-01-17,22.5,24.56,22.44,23.13,467200.0
2001-01-18,23.25,23.31,21.88,21.94,260400.0
2001-01-19,22.25,22.5,19.0,20.0,559500.0
2001-01-22,20.38,22.25,19.88,22.13,383100.0
2001-01-23,22.19,24.88,22.19,24.75,212700.0
2001-01-24,24.73,24.75,22.75,22.81,380900.0
2001-01-25,22.97,22.97,21.38,21.88,29300.0
2001-01-26,22.06,22.69,21.5,21.5,281800.0
2001-01-29,21.5,21.88,21.44,21.63,33200.0
2001-01-30,22.13,24.25,22.11,23.63,144600.0
2001-01-31,23.52,24.0,23.38,23.63,41200.0
2001-02-01,23.5,24.0,23.5,23.63,28800.0
2001-02-02,23.63,24.0,23.63,23.88,32800.0
2001-02-05,23.94,25.38,23.75,24.38,125900.0
2001-02-06,24.88,24.88,24.13,24.19,117400.0
2001-02-07,24.25,24.25,23.44,23.5,76700.0
2001-02-08,23.75,24.13,23.25,24.0,19300.0
2001-02-09,23.25,23.75,22.25,23.13,42900.0
2001-02-12,22.25,23.13,22.25,23.0,66000.0
2001-02-13,23.25,24.0,23.0,23.5,91300.0
2001-02-14,23.63,24.0,23.5,23.88,33500.0
2001-02-15,23.38,24.0,23.38,23.38,13700.0
2001-02-16,23.94,23.94,23.0,23.81,27700.0
2001-02-20,23.86,23.86,22.0,22.75,89200.0
2001-02-21,20.64,21.13,19.75,21.13,173300.0
2001-02-22,20.75,23.75,20.75,23.0,155600.0
2001-02-23,23.0,24.25,22.88,24.0,57100.0
2001-02-26,24.13,24.13,23.25,23.5,73500.0
2001-02-27,23.25,23.5,23.0,23.25,54700.0
2001-02-28,23.0,23.5,22.88,23.06,134500.0
2001-03-01,22.88,23.0,22.0,22.5,81300.0
2001-03-02,21.88,21.88,20.75,21.25,30400.0
2001-03-05,20.75,20.75,19.5,19.63,5900.0
2001-03-06,20.5,20.5,18.5,18.75,19400.0
2001-03-07,18.75,19.63,17.0,17.75,396200.0
2001-03-08,18.38,19.13,17.88,19.13,168900.0
2001-03-09,19.11,20.5,18.88,19.94,62900.0
2001-03-12,19.5,19.52,18.75,19.0,164100.0
2001-03-13,19.0,19.0,17.88,18.38,258400.0
2001-03-14,18.25,18.88,18.0,18.63,96100.0
2001-03-15,18.88,19.25,18.56,18.81,187200.0
2001-03-16,18.81,19.75,18.81,19.5,96900.0
2001-03-19,19.38,20.0,19.38,20.0,110200.0
2001-03-20,19.69,19.75,18.19,18.5,340400.0
2001-03-21,18.13,19.13,18.13,19.0,164600.0
2001-03-22,18.63,18.75,18.0,18.31,135900.0
2001-03-23,18.25,18.5,18.25,18.44,33000.0
2001-03-26,18.5,18.94,17.75,18.0,255600.0
2001-03-27,18.06,18.06,16.94,18.0,558400.0
2001-03-28,17.88,17.88,16.63,17.13,1169000.0
2001-03-29,17.5,19.25,17.5,19.25,1007900.0
2001-03-30,19.73,24.0,19.38,22.13,291100.0
2001-04-02,22.75,22.75,21.75,22.31,52200.0
2001-04-03,22.19,22.25,21.06,22.0,27500.0
2001-04-04,21.2,22.19,21.06,21.44,33100.0
2001-04-05,21.39,22.25,21.31,22.25,101600.0
2001-04-06,21.25,22.63,21.13,22.06,50800.0
2001-04-09,22.1,23.7,22.0,23.6,124400.0
2001-04-10,24.0,26.75,23.86,25.86,537300.0
2001-04-11,27.35,27.35,26.4,26.8,313500.0
2001-04-12,27.23,27.24,26.0,26.55,195600.0
2001-04-16,27.02,27.2,25.73,26.0,139000.0
2001-04-17,25.96,26.0,25.5,25.54,196000.0
2001-04-18,25.8,28.13,25.51,27.9,376400.0
2001-04-19,28.34,29.0,26.0,26.0,268800.0
2001-04-20,26.25,26.95,23.92,25.0,209800.0
2001-04-23,24.46,25.02,23.0,24.31,115500.0
2001-04-24,24.21,25.34,24.0,24.45,182300.0
2001-04-25,24.05,25.94,24.05,25.21,162500.0
2001-04-26,25.22,26.55,25.1,26.0,66900.0
2001-04-27,25.66,26.56,25.65,26.56,102200.0
2001-04-30,25.86,26.61,25.86,26.55,98900.0
2001-05-01,25.75,26.75,25.75,26.57,88300.0
2001-05-02,26.47,26.57,25.1,26.35,187600.0
2001-05-03,25.51,26.3,25.5,26.09,119400.0
