date,open,high,low,close,volume
2023-05-11,4.6,4.7,4.6,4.7,345.0
2023-05-12,4.7,4.7,4.7,4.7,0.0
2023-05-15,4.65,4.65,4.65,4.65,1785.0
2023-05-16,4.65,4.65,4.65,4.65,10.0
2023-05-17,4.65,4.65,4.65,4.65,0.0
2023-05-18,4.65,4.65,4.65,4.65,0.0
2023-05-19,4.65,4.65,4.65,4.65,1.0
2023-05-22,4.65,4.65,4.65,4.65,0.0
2023-05-23,4.7,4.8,4.7,4.8,200.0
2023-05-24,4.65,4.65,4.6,4.6,2200.0
2023-05-25,4.6,4.6,4.6,4.6,0.0
2023-05-26,4.6,4.6,4.6,4.6,1.0
2023-05-30,4.9,5.0,4.9,5.0,401.0
2023-05-31,5.25,5.25,5.25,5.25,150.0
2023-06-05,5.4,6.0,5.4,5.81,1245.0
2023-06-06,6.1,6.15,6.1,6.15,2445.0
2023-06-07,6.2,6.74,6.2,6.31,2357.0
2023-06-08,6.3,6.3,5.8,5.8,2329.0
2023-06-09,6.2,6.2,6.2,6.2,1277.0
2023-06-12,6.25,6.25,6.25,6.25,255.0
2023-06-13,6.25,6.25,6.1,6.1,390.0
2023-06-14,6.0,6.0,5.8,6.0,921.0
2023-06-15,6.0,6.0,6.0,6.0,0.0
2023-06-16,5.8,5.8,5.2383,5.2383,399.0
2023-06-20,6.0,6.25,5.75,6.25,550.0
2023-06-21,6.25,6.25,6.25,6.25,655.0
2023-06-22,6.25,6.25,6.25,6.25,0.0
2023-06-23,6.5,6.5,6.5,6.5,200.0
2023-06-26,6.5,6.5,6.5,6.5,27.0
2023-06-27,6.5,6.5,6.5,6.5,0.0
2023-06-28,6.5,6.5,6.5,6.5,6.0
2023-06-29,6.5,6.5,6.5,6.5,0.0
2023-06-30,6.81,6.81,6.81,6.81,655.0
2023-07-03,6.75,6.75,6.75,6.75,123.0
2023-07-05,6.5,6.5,6.25,6.25,1500.0
2023-07-06,6.25,6.25,6.25,6.25,0.0
2023-07-07,6.26,6.26,5.97,5.97,706.0
2023-07-10,5.97,5.97,5.97,5.97,0.0
2023-07-11,5.97,5.97,5.97,5.97,60.0
2023-07-12,5.97,5.97,5.97,5.97,0.0
2023-07-13,6.0,6.0,5.75,5.75,1700.0
2023-07-14,5.75,5.75,5.75,5.75,0.0
2023-07-17,5.75,5.75,5.75,5.75,100.0
2023-07-18,5.73,5.73,5.73,5.73,200.0
2023-07-19,5.73,5.73,5.73,5.73,0.0
2023-07-20,5.73,5.73,5.73,5.73,0.0
2023-07-21,5.73,5.73,5.73,5.73,0.0
2023-07-24,5.73,5.73,5.73,5.73,0.0
2023-07-25,5.73,5.73,5.73,5.73,70.0
2023-07-26,5.73,5.73,5.73,5.73,0.0
2023-07-27,5.7,5.7,5.7,5.7,125.0
2023-07-28,5.7,5.7,5.7,5.7,0.0
2023-07-31,5.7,5.7,5.7,5.7,0.0
2023-08-01,5.7,5.7,5.7,5.7,0.0
2023-08-02,5.7,5.7,5.7,5.7,0.0
2023-08-03,5.7,5.7,5.7,5.7,0.0
2023-08-04,6.104,6.104,6.104,6.104,180.0
2023-08-07,4.9,4.9,4.9,4.9,100.0
2023-08-08,4.845,4.845,4.845,4.845,202.0
2023-08-09,4.7,4.7,4.6732,4.6732,3200.0
2023-08-10,4.6,4.6,4.6,4.6,100.0
2023-08-11,4.5,4.6,4.5,4.6,500.0
2023-08-14,4.7,5.0,4.7,5.0,400.0
2023-08-15,5.0,5.0,5.0,5.0,0.0
2023-08-16,5.0,5.0,5.0,5.0,0.0
2023-08-17,5.0,5.0,5.0,5.0,0.0
2023-08-18,5.0,5.0,5.0,5.0,0.0
2023-08-21,5.0,5.0,5.0,5.0,0.0
2023-08-22,5.3,5.3,5.3,5.3,300.0
2023-08-23,5.5,5.5,5.5,5.5,500.0
2023-08-24,5.5,5.5,5.5,5.5,0.0
2023-08-25,5.5,5.5,5.5,5.5,0.0
2023-08-28,5.5,6.0,5.5,6.0,400.0
2023-08-29,6.0,6.0,6.0,6.0,0.0
2023-08-30,6.0,6.0,6.0,6.0,0.0
2023-08-31,6.0,6.0,6.0,6.0,80.0
2023-09-01,5.7,6.0,5.7,6.0,300.0
2023-09-05,6.0,6.0,6.0,6.0,1.0
2023-09-06,6.2,6.2,6.0,6.0,299.0
2023-09-07,5.75,5.75,5.75,5.75,100.0
2023-09-08,5.75,5.75,5.75,5.75,100.0
2023-09-11,5.75,5.75,5.558,5.558,300.0
