date,open,high,low,close,volume
2025-03-24,0.2,0.2,0.2,0.2,15081.0
2025-03-25,0.23,0.25,0.23,0.25,142900.0
2025-03-26,0.22,0.22,0.2,0.22,373875.0
2025-03-27,0.22,0.22,0.22,0.22,70.0
2025-03-28,0.22,0.22,0.22,0.22,0.0
2025-03-31,0.22,0.22,0.22,0.22,0.0
2025-04-01,0.22,0.22,0.22,0.22,0.0
2025-04-02,0.22,0.22,0.22,0.22,0.0
2025-04-03,0.22,0.22,0.22,0.22,0.0
2025-04-04,0.22,0.22,0.22,0.22,0.0
2025-04-07,0.22,0.22,0.22,0.22,0.0
2025-04-08,0.21,0.21,0.201,0.201,10000.0
2025-04-09,0.201,0.201,0.201,0.201,0.0
2025-04-10,0.201,0.201,0.201,0.201,0.0
2025-04-11,0.201,0.201,0.201,0.201,0.0
2025-04-14,0.201,0.201,0.201,0.201,0.0
2025-04-15,0.201,0.201,0.201,0.201,0.0
2025-04-16,0.18,0.18,0.18,0.18,25500.0
2025-04-17,0.18,0.18,0.18,0.18,0.0
2025-04-21,0.18,0.18,0.18,0.18,0.0
2025-04-22,0.18,0.18,0.18,0.18,0.0
2025-04-23,0.18,0.18,0.18,0.18,0.0
2025-04-24,0.15,0.18,0.15,0.18,5500.0
2025-04-25,0.18,0.18,0.18,0.18,0.0
2025-04-28,0.18,0.18,0.18,0.18,0.0
2025-04-29,0.1501,0.195,0.1321,0.1949,33206.0
2025-04-30,0.16,0.17,0.16,0.17,74901.0
2025-05-01,0.17,0.17,0.17,0.17,0.0
2025-05-02,0.17,0.17,0.17,0.17,0.0
2025-05-05,0.17,0.17,0.17,0.17,0.0
2025-05-06,0.17,0.17,0.17,0.17,0.0
2025-05-07,0.17,0.17,0.17,0.17,0.0
2025-05-08,0.17,0.17,0.17,0.17,0.0
2025-05-09,0.17,0.17,0.17,0.17,0.0
2025-05-12,0.22,0.22,0.209,0.209,15500.0
2025-05-13,0.2151,0.2151,0.2151,0.2151,4900.0
2025-05-14,0.2151,0.2151,0.2151,0.2151,0.0
2025-05-15,0.22,0.23,0.21,0.21,100194.0
2025-05-16,0.21,0.21,0.21,0.21,0.0
2025-05-19,0.21,0.21,0.21,0.21,0.0
2025-05-20,0.23,0.23,0.2151,0.22,177745.0
2025-05-21,0.22,0.22,0.22,0.22,0.0
2025-05-22,0.22,0.22,0.22,0.22,14.0
2025-05-23,0.22,0.22,0.22,0.22,69.0
2025-05-27,0.23,0.23,0.23,0.23,631.0
2025-05-28,0.22,0.2497,0.22,0.2497,26675.0
2025-05-29,0.2497,0.2497,0.2497,0.2497,0.0
2025-05-30,0.2497,0.2497,0.2497,0.2497,0.0
2025-06-02,0.2497,0.2497,0.2497,0.2497,0.0
2025-06-03,0.2497,0.2497,0.2497,0.2497,0.0
2025-06-04,0.2495,0.2495,0.2495,0.2495,18000.0
2025-06-05,0.2495,0.2495,0.2495,0.2495,0.0
2025-06-06,0.2495,0.2495,0.2495,0.2495,0.0
2025-06-09,0.2495,0.2495,0.2495,0.2495,0.0
2025-06-10,0.2495,0.3,0.2495,0.25,110228.0
2025-06-11,0.25,0.25,0.25,0.25,173000.0
2025-06-12,0.25,0.25,0.25,0.25,34.0
2025-06-13,0.3,0.3563,0.2211,0.2211,2291.0
2025-06-16,0.2211,0.2211,0.2211,0.2211,23.0
2025-06-17,0.2211,0.2211,0.2211,0.2211,0.0
2025-06-18,0.2211,0.2211,0.2211,0.2211,0.0
2025-06-20,0.3,0.33,0.2212,0.2212,4200.0
2025-06-23,0.2212,0.2212,0.2212,0.2212,1000.0
2025-06-24,0.3,0.3,0.3,0.3,977.0
2025-06-25,0.3021,0.3021,0.3021,0.3021,100.0
2025-06-26,0.2706,0.2706,0.27,0.27,466.0
2025-06-27,0.27,0.27,0.27,0.27,0.0
2025-06-30,0.27,0.27,0.27,0.27,15.0
2025-07-01,0.31,0.31,0.31,0.31,200.0
2025-07-02,0.3008,0.32,0.3,0.32,9131.0
2025-07-03,0.32,0.324,0.32,0.32,5003.0
2025-07-07,0.3399,0.34,0.32,0.33,8330.0
2025-07-08,0.32,0.34,0.28,0.28,1242.0
2025-07-09,0.31,0.31,0.31,0.31,201.0
2025-07-10,0.31,0.3218,0.31,0.31,1008.0
2025-07-11,0.31,0.31,0.31,0.31,200.0
2025-07-14,0.3292,0.34,0.3292,0.34,302.0
2025-07-15,0.34,0.34,0.34,0.34,50.0
2025-07-16,0.34,0.34,0.34,0.34,0.0
2025-07-17,0.3406,0.3406,0.3406,0.3406,100.0
2025-07-18,0.35,0.35,0.35,0.35,286.0
2025-07-21,0.31,0.35,0.31,0.3499,370.0
2025-07-22,0.3499,0.3499,0.3499,0.3499,0.0
2025-07-23,0.3499,0.3499,0.3499,0.3499,0.0
2025-07-24,0.3499,0.3499,0.3499,0.3499,43.0
2025-07-25,0.3499,0.3499,0.3499,0.3499,0.0
2025-07-28,0.33,0.33,0.33,0.33,485.0
2025-07-29,0.33,0.33,0.33,0.33,300.0
2025-07-30,0.33,0.33,0.33,0.33,0.0
2025-07-31,0.33,0.33,0.33,0.33,4.0
2025-08-01,0.33,0.33,0.33,0.33,0.0
2025-08-04,0.33,0.33,0.33,0.33,31.0
2025-08-05,0.33,0.33,0.33,0.33,0.0
2025-08-06,0.33,0.33,0.33,0.33,0.0
2025-08-07,0.33,0.33,0.33,0.33,30.0
2025-08-08,0.335,0.335,0.335,0.335,36031.0
2025-08-11,0.335,0.335,0.335,0.335,0.0
2025-08-12,0.335,0.389,0.335,0.3524,21282.0
2025-08-13,0.3487,0.35,0.34,0.35,16960.0
2025-08-14,0.35,0.35,0.35,0.35,0.0
2025-08-15,0.35,0.35,0.35,0.35,0.0
2025-08-18,0.35,0.35,0.35,0.35,0.0
2025-08-19,0.36,0.36,0.36,0.36,216.0
2025-08-20,0.36,0.36,0.36,0.36,28.0
2025-08-21,0.36,0.36,0.36,0.36,29.0
2025-08-22,0.36,0.36,0.36,0.36,123.0
2025-08-25,0.36,0.36,0.36,0.36,0.0
2025-08-26,0.28,0.34,0.28,0.34,270.0
2025-08-27,0.34,0.34,0.34,0.34,50.0
