date,open,high,low,close,volume
2021-01-27,16.45,50.0,16.0,25.5,504123.0
2021-01-28,35.0,35.0,11.1,16.1,304472.0
2021-01-29,16.12,16.12,12.0801,12.69,138756.0
2021-02-01,13.22,14.25,12.0001,12.5,63528.0
2021-02-02,12.67,12.7,11.55,12.1,72406.0
2021-02-03,12.0,14.69,11.33,13.83,110410.0
2021-02-04,13.74,19.94,13.0696,18.02,359877.0
2021-02-05,18.37,19.9176,18.37,19.73,66604.0
2021-02-08,20.95,26.93,20.69,25.0,316356.0
2021-02-09,25.53,31.5,25.5298,29.21,348062.0
2021-02-10,30.0,32.185,25.6118,28.69,63864.0
2021-02-11,29.07,30.79,26.11,27.14,39013.0
2021-02-12,26.01,26.07,23.41,25.29,39860.0
2021-02-16,26.55,32.88,26.55,28.76,55435.0
2021-02-17,29.0,35.64,29.0,34.25,423908.0
2021-02-18,36.0,42.8,34.25,39.56,67557.0
2021-02-19,41.01,49.34,41.01,49.29,67765.0
2021-02-22,51.05,57.69,40.28,56.18,358645.0
2021-02-23,51.21,64.9999,48.3311,62.72,123937.0
2021-02-24,61.0,61.0,53.06,59.51,55246.0
2021-02-25,57.88,69.6965,55.0101,69.69,66525.0
2021-02-26,66.5,72.0,58.41,66.09,99447.0
2021-03-01,67.25,81.96,66.13,79.85,226145.0
2021-03-02,78.02,97.7899,76.12,94.77,86451.0
2021-03-03,96.39,103.87,65.26,75.01,343819.0
2021-03-04,75.05,91.72,63.04,72.94,98775.0
2021-03-05,73.75,73.75,53.1991,58.06,65567.0
2021-03-08,58.06,76.09,57.7,61.4,76686.0
2021-03-09,64.05,68.33,61.0,62.21,32477.0
2021-03-10,66.15,67.8765,62.0,63.44,30698.0
2021-03-11,63.0756,64.145,58.0,61.2494,36942.0
2021-03-12,61.15,70.27,58.5183,65.07,45251.0
2021-03-15,66.21,87.5,66.21,86.81,59989.0
2021-03-16,89.03,96.44,80.05,87.46,88933.0
2021-03-17,84.75,86.5,79.83,84.1,29651.0
2021-03-18,85.735,90.2,82.175,85.0,23224.0
2021-03-19,81.2,85.465,81.2,84.43,17718.0
2021-03-22,83.04,86.199,80.72,83.0,24157.0
2021-03-23,84.39,85.53,81.03,82.55,20241.0
2021-03-24,82.71,84.9702,81.14,81.35,22300.0
2021-03-25,81.03,92.0,80.05,91.47,91500.0
