date,open,high,low,close,volume
2025-09-02,12.84,13.8961,12.3008,12.36,138664.0
2025-09-03,12.6,13.44,11.62,11.97,257844.0
2025-09-04,11.3,11.5,9.5818,10.85,402692.0
2025-09-05,11.05,11.36,10.3921,10.71,281512.0
2025-09-08,9.05,9.05,8.55,8.745,1661035.0
2025-09-09,8.71,8.84,8.01,8.17,546823.0
2025-09-10,8.2,8.59,8.0,8.26,788210.0
2025-09-11,8.42,8.42,7.85,7.98,754579.0
2025-09-12,8.33,8.36,7.17,7.24,1354518.0
2025-09-15,7.36,7.482,6.92,7.05,570104.0
2025-09-16,7.25,8.25,7.06,7.35,1213448.0
2025-09-17,7.28,7.65,6.96,7.09,859537.0
2025-09-18,7.09,7.26,6.69,6.85,913482.0
2025-09-19,6.98,6.99,6.55,6.8,5149720.0
2025-09-22,6.66,7.32,6.5,7.09,922617.0
2025-09-23,6.9,7.69,6.9,6.97,951549.0
2025-09-24,6.93,7.345,6.93,7.06,649417.0
2025-09-25,6.93,7.16,6.85,6.97,559810.0
2025-09-26,6.91,7.025,6.6104,6.94,723458.0
2025-09-29,6.865,7.5,6.76,6.9,1176419.0
2025-09-30,7.3,7.51,6.92,7.04,1110783.0
2025-10-01,7.08,7.29,6.55,6.82,1064129.0
2025-10-02,6.9,7.09,6.7,7.08,570694.0
2025-10-03,7.08,7.12,6.77,6.87,422750.0
2025-10-06,6.96,7.14,6.74,7.01,844077.0
2025-10-07,7.03,7.0478,6.295,6.375,1443572.0
2025-10-08,6.43,6.4682,6.12,6.33,803851.0
2025-10-09,6.33,6.33,5.95,6.1,727205.0
2025-10-10,6.07,6.32,5.42,5.56,777928.0
2025-10-13,5.37,5.42,4.405,4.72,1399457.0
2025-10-14,4.52,4.64,4.25,4.28,766840.0
2025-10-15,4.3,4.417,4.13,4.17,901900.0
2025-10-16,4.24,4.38,3.91,4.01,780129.0
2025-10-17,3.91,4.04,3.67,3.69,1015086.0
2025-10-20,3.86,4.225,3.8,4.15,576477.0
2025-10-21,4.13,4.16,3.94,4.0,480611.0
2025-10-22,3.91,4.06,3.46,3.61,1121176.0
2025-10-23,3.79,3.84,3.57,3.79,625175.0
2025-10-24,3.82,3.98,3.56,3.95,875165.0
2025-10-27,3.94,4.18,3.9,4.09,384938.0
2025-10-28,4.07,4.18,3.96,4.16,387236.0
2025-10-29,4.11,4.3728,3.885,4.28,541967.0
2025-10-30,4.4,4.4,4.045,4.2,440170.0
2025-10-31,4.24,4.33,4.2,4.31,264215.0
2025-11-03,4.31,4.32,3.92,4.14,429426.0
2025-11-04,4.29,4.29,3.05,3.46,1375642.0
2025-11-05,3.49,3.49,3.21,3.47,423920.0
2025-11-06,3.45,3.45,3.15,3.16,435805.0
2025-11-07,3.12,3.31,3.01,3.3,556060.0
2025-11-10,3.42,3.45,3.22,3.22,290617.0
2025-11-11,3.2,3.25,3.095,3.15,293385.0
2025-11-12,3.24,3.79,3.205,3.6,856811.0
2025-11-13,3.65,4.22,3.47,3.49,941170.0
2025-11-14,3.34,3.565,3.3,3.31,491559.0
2025-11-17,3.23,3.355,3.1245,3.16,554147.0
2025-11-18,3.02,3.18,2.91,3.08,872709.0
2025-11-19,3.09,3.25,2.8,2.86,1035284.0
2025-11-20,2.89,3.12,2.88,2.93,733819.0
2025-11-21,2.74,3.03,2.74,2.88,1489682.0
2025-11-24,2.81,3.12,2.81,3.05,701278.0
2025-11-25,3.05,3.16,2.73,2.865,1092628.0
2025-11-26,2.91,3.1899,2.9,3.14,798866.0
2025-11-28,3.17,3.53,3.11,3.41,571445.0
