date,open,high,low,close,volume
1999-11-01,15.13,15.13,15.13,15.13,0.0
1999-11-02,15.75,15.75,15.75,15.75,200.0
1999-11-03,15.25,15.25,15.25,15.25,300.0
1999-11-04,15.63,15.63,15.5,15.5,300.0
1999-11-05,15.5,15.5,15.5,15.5,0.0
1999-11-08,15.5,15.5,15.5,15.5,0.0
1999-11-09,15.5,15.5,15.5,15.5,0.0
1999-11-10,15.5,15.5,15.0,15.0,700.0
1999-11-11,15.0,15.0,15.0,15.0,0.0
1999-11-12,15.0,15.0,15.0,15.0,100.0
1999-11-15,15.0,15.0,14.13,14.13,6200.0
1999-11-16,14.13,14.13,14.13,14.13,0.0
1999-11-17,14.0,14.0,13.63,13.63,2000.0
1999-11-18,15.0,15.0,14.5,14.5,1300.0
1999-11-19,15.0,15.0,15.0,15.0,200.0
1999-11-22,15.0,15.0,15.0,15.0,0.0
1999-11-23,15.0,15.0,15.0,15.0,0.0
1999-11-24,14.13,14.75,14.13,14.75,300.0
1999-11-26,14.75,14.75,14.75,14.75,0.0
1999-11-29,14.75,14.75,14.0,14.0,600.0
1999-11-30,14.25,14.25,13.5,14.25,1400.0
1999-12-01,13.75,14.25,13.75,14.25,700.0
1999-12-02,14.25,14.25,14.25,14.25,0.0
1999-12-03,14.25,14.25,14.25,14.25,0.0
1999-12-06,14.0,14.0,13.63,13.63,700.0
1999-12-07,13.5,13.5,13.5,13.5,100.0
1999-12-08,13.5,13.5,12.75,12.75,2900.0
1999-12-09,13.0,13.0,12.75,12.75,1600.0
1999-12-10,13.5,14.0,13.5,14.0,1400.0
1999-12-13,13.56,13.56,12.5,13.0,6600.0
1999-12-14,12.5,12.81,12.5,12.81,400.0
1999-12-15,13.5,13.5,13.5,13.5,1600.0
1999-12-16,13.25,13.25,13.25,13.25,400.0
1999-12-17,13.25,13.25,13.25,13.25,1500.0
1999-12-20,14.0,14.0,14.0,14.0,0.0
1999-12-21,14.0,14.25,14.0,14.0,17800.0
1999-12-22,13.25,14.0,13.25,13.5,400.0
1999-12-23,13.5,13.5,13.5,13.5,0.0
1999-12-27,13.5,13.5,13.5,13.5,0.0
1999-12-28,13.5,14.5,13.5,14.5,1600.0
1999-12-29,13.5,14.5,13.5,14.5,6800.0
1999-12-30,14.5,15.69,14.5,15.69,6100.0
1999-12-31,14.38,15.75,14.38,15.75,700.0
2000-01-03,13.5,13.5,13.5,13.5,15400.0
2000-01-04,14.0,14.0,14.0,14.0,100.0
2000-01-05,12.88,13.75,12.0,13.75,6600.0
2000-01-06,13.75,13.75,13.75,13.75,0.0
2000-01-07,12.38,12.38,10.0,11.38,42000.0
2000-01-10,11.38,11.38,11.38,11.38,100.0
2000-01-11,11.25,11.25,11.0,11.0,8100.0
2000-01-12,11.5,11.5,11.5,11.5,200.0
2000-01-13,11.5,12.0,11.5,12.0,1700.0
2000-01-14,12.0,12.0,12.0,12.0,0.0
