date,open,high,low,close,volume
2023-10-19,12.0,12.0,5.5,5.709,68772.0
2023-10-20,7.3,7.8,4.85,5.32,3013990.0
2023-10-23,4.54,4.54,3.9012,4.0,330352.0
2023-10-24,3.57,4.5,3.3,4.4,647892.0
2023-10-25,4.83,5.4499,4.61,4.92,1632768.0
2023-10-26,3.98,4.25,3.7,3.84,603468.0
2023-10-27,3.7,3.99,3.51,3.86,197923.0
2023-10-30,3.88,3.94,3.52,3.71,183517.0
2023-10-31,3.49,3.67,3.27,3.49,80032.0
2023-11-01,3.45,4.15,3.45,3.785,268251.0
2023-11-02,3.78,4.12,3.64,4.06,223822.0
2023-11-03,4.1,4.23,3.94,4.13,156695.0
2023-11-06,4.05,4.3265,4.05,4.25,38956.0
2023-11-07,4.16,4.88,4.078,4.45,523747.0
2023-11-08,4.5,4.77,4.09,4.19,226207.0
2023-11-09,4.02,4.19,3.88,4.0,42969.0
2023-11-10,4.01,4.3,3.835,4.0612,29390.0
2023-11-13,4.01,4.18,4.0,4.01,12498.0
2023-11-14,3.86,4.21,3.86,4.0,103533.0
2023-11-15,3.99,4.04,3.7745,3.98,65585.0
2023-11-16,3.98,4.07,3.8301,3.995,30946.0
2023-11-17,4.0,4.06,3.885,4.0,55973.0
2023-11-20,4.11,4.11,3.93,4.08,29531.0
2023-11-21,4.03,4.07,3.8601,4.0,32965.0
2023-11-22,4.17,4.17,3.96,4.0,21353.0
2023-11-24,3.96,4.04,3.9,3.995,22013.0
2023-11-27,3.95,4.2,3.91,4.2,21003.0
2023-11-28,4.09,4.25,3.93,4.08,117412.0
2023-11-29,4.08,4.24,3.92,4.11,55907.0
2023-11-30,4.05,4.49,3.985,4.38,65680.0
2023-12-01,4.28,4.545,4.28,4.49,31248.0
2023-12-04,4.77,4.77,3.84,4.15,223949.0
2023-12-05,4.1,4.3415,4.02,4.11,68416.0
2023-12-06,4.01,4.19,3.8,3.8,83096.0
2023-12-07,3.8,3.9373,3.56,3.75,59098.0
2023-12-08,3.75,3.95,3.4701,3.66,61008.0
2023-12-11,3.62,3.7739,3.33,3.57,74914.0
2023-12-12,3.66,3.8,3.4,3.52,113456.0
2023-12-13,3.54,3.77,2.79,2.95,260780.0
2023-12-14,2.98,3.2,2.83,2.84,138639.0
2023-12-15,2.9,2.97,2.45,2.67,207607.0
2023-12-18,2.6,2.875,2.6,2.75,72557.0
2023-12-19,2.71,2.765,2.63,2.63,72632.0
2023-12-20,2.66,2.7996,2.3,2.475,212661.0
2023-12-21,2.57,2.732,2.28,2.3301,206768.0
2023-12-22,2.27,2.48,2.27,2.4,124619.0
2023-12-26,2.4,2.61,2.4,2.6,167441.0
2023-12-27,2.59,2.68,2.52,2.67,158630.0
2023-12-28,2.64,2.92,2.64,2.88,88224.0
2023-12-29,2.75,3.18,2.56,3.17,162448.0
2024-01-02,3.13,3.17,3.07,3.135,14425.0
2024-01-03,3.1,3.1,2.63,2.7,79531.0
2024-01-04,2.68,2.91,2.665,2.75,73918.0
2024-01-05,2.74,2.83,2.71,2.72,28608.0
2024-01-08,2.74,3.08,2.56,2.67,62236.0
2024-01-09,2.61,2.7,2.57,2.64,69825.0
2024-01-10,2.61,2.7268,2.59,2.6,17194.0
2024-01-11,2.6,2.6886,2.51,2.55,30414.0
2024-01-12,2.58,2.58,2.55,2.58,14673.0
2024-01-16,2.55,2.6761,2.55,2.58,10971.0
2024-01-17,2.55,2.61,2.55,2.61,8697.0
2024-01-18,2.61,2.63,2.57,2.58,11706.0
2024-01-19,2.69,2.8399,2.6306,2.7,10234.0
2024-01-22,3.01,3.4,2.6517,2.8,807641.0
2024-01-23,2.83,2.94,2.45,2.52,156589.0
2024-01-24,2.48,2.59,2.44,2.445,61949.0
2024-01-25,2.44,2.49,2.26,2.29,27243.0
2024-01-26,2.21,2.4288,2.02,2.28,152472.0
2024-01-29,2.37,2.37,2.24,2.25,58938.0
2024-01-30,2.26,2.32,2.0,2.0,222530.0
2024-01-31,1.95,2.17,1.95,2.11,11782.0
2024-02-01,2.15,2.28,1.91,2.14,275975.0
2024-02-02,2.18,2.3,2.04,2.07,67266.0
2024-02-05,2.04,2.105,2.02,2.02,66978.0
2024-02-06,2.0,2.1425,2.0,2.07,120783.0
2024-02-07,2.02,2.17,2.02,2.065,23882.0
2024-02-08,2.07,2.13,2.04,2.04,13436.0
2024-02-09,2.12,2.12,2.05,2.08,6324.0
2024-02-12,2.1,2.12,1.9787,2.06,109869.0
2024-02-13,2.06,2.12,2.0,2.04,53032.0
2024-02-14,2.04,2.18,1.95,2.05,75142.0
2024-02-15,2.09,2.35,2.01,2.08,63102.0
2024-02-16,2.1,2.11,1.96,2.01,38009.0
2024-02-20,1.98,1.99,1.91,1.91,17472.0
2024-02-21,1.84,1.95,1.84,1.95,17277.0
2024-02-22,2.01,2.055,1.99,2.0,20472.0
2024-02-23,1.95,1.98,1.83,1.85,113527.0
2024-02-26,1.89,2.14,1.89,2.1,77517.0
2024-02-27,2.0,2.11,2.0,2.02,15136.0
2024-02-28,2.04,2.06,1.97,2.0,30672.0
2024-02-29,2.06,2.16,2.04,2.13,43331.0
2024-03-01,2.1,2.25,2.06,2.19,21106.0
2024-03-04,2.2,3.0598,2.2,2.89,270269.0
2024-03-05,2.88,3.06,2.88,2.92,76173.0
2024-03-06,2.94,3.29,2.85,3.05,95409.0
2024-03-07,3.0,3.06,2.8601,3.02,124758.0
2024-03-08,3.1,3.25,2.99,3.23,61667.0
2024-03-11,3.19,3.295,3.14,3.2,69347.0
2024-03-12,3.3,3.42,3.1201,3.29,89506.0
2024-03-13,3.33,3.45,3.17,3.17,133844.0
