date,open,high,low,close,volume
2015-04-20,28.0,30.03,27.0,30.03,35105.0
2015-04-21,29.06,30.9,29.05,30.05,49417.0
2015-04-22,31.55,34.63,29.55,30.27,218257.0
2015-04-23,30.0,30.55,29.9505,30.15,307908.0
2015-04-24,30.305,30.305,28.6,28.6,1920502.0
2015-04-27,28.44,29.5,27.5,27.51,3688316.0
2015-04-28,27.11,29.885,27.09,29.48,6802316.0
2015-04-29,29.82,30.72,29.61,30.32,2839809.0
2015-04-30,30.04,30.32,29.7,30.08,2204909.0
2015-05-01,30.01,30.32,29.55,29.97,1281867.0
2015-05-04,29.36,30.385,29.26,30.16,1716763.0
2015-05-05,29.75,30.65,29.75,30.24,1280442.0
2015-05-06,30.15,30.3,28.43,28.56,1775660.0
2015-05-07,28.22,28.7,27.5,27.62,2252215.0
2015-05-08,27.75,27.9899,27.065,27.65,1406640.0
2015-05-11,27.41,27.6,26.85,27.41,1376563.0
2015-05-12,26.84,28.22,26.8,28.11,1140601.0
2015-05-13,27.96,28.1,27.58,27.8,1053027.0
2015-05-14,27.66,27.96,27.51,27.81,1047025.0
2015-05-15,27.7,27.8504,27.5,27.53,553901.0
2015-05-18,27.13,27.5,26.79,26.86,866335.0
2015-05-19,26.76,26.86,26.17,26.22,1405277.0
2015-05-20,26.09,26.418,25.65,25.69,834537.0
2015-05-21,25.53,26.55,25.34,26.5,1426071.0
2015-05-22,26.16,26.92,26.09,26.78,923790.0
2015-05-26,26.49,27.0,26.23,26.49,685878.0
2015-05-27,26.01,26.4101,25.91,26.13,872888.0
2015-05-28,26.15,26.24,25.88,25.98,627479.0
2015-05-29,25.85,26.12,25.75,26.05,941313.0
2015-06-01,25.8,26.2,25.65,25.86,634062.0
2015-06-02,25.77,26.82,25.68,26.42,1035734.0
2015-06-03,26.13,26.38,25.8801,26.0,767691.0
2015-06-04,25.67,26.01,25.4,25.45,828771.0
2015-06-05,25.77,25.77,25.39,25.52,696270.0
2015-06-08,25.5,25.75,25.5,25.6,782075.0
2015-06-09,25.65,25.67,25.14,25.49,1168136.0
2015-06-10,25.58,25.6245,25.31,25.39,917615.0
2015-06-11,25.38,25.86,25.36,25.84,909935.0
2015-06-12,26.03,26.38,25.9,26.12,775251.0
2015-06-15,26.01,26.12,25.5,25.68,813983.0
2015-06-16,25.55,26.27,25.43,26.17,1090425.0
2015-06-17,25.97,26.46,25.9352,26.33,948112.0
2015-06-18,26.3,26.615,26.27,26.42,595068.0
2015-06-19,26.45,26.79,26.405,26.74,1776786.0
