date,open,high,low,close,volume
1999-11-01,49.88,54.38,49.88,53.63,158000.0
1999-11-02,53.63,58.0,52.94,57.0,230800.0
1999-11-03,57.5,60.13,57.5,60.0,128100.0
1999-11-04,60.25,64.75,60.0,60.13,350600.0
1999-11-05,60.5,60.5,56.75,57.38,197800.0
1999-11-08,56.5,57.38,55.81,57.38,103700.0
1999-11-09,57.5,59.13,57.0,59.0,63700.0
1999-11-10,59.0,63.75,59.0,61.5,351800.0
1999-11-11,61.38,61.38,59.75,59.88,395900.0
1999-11-12,59.94,65.0,59.06,64.25,2984100.0
1999-11-15,64.5,66.25,61.5,65.63,443500.0
1999-11-16,65.75,65.75,62.25,65.0,146600.0
1999-11-17,65.5,67.0,64.63,64.88,99000.0
1999-11-18,65.5,65.88,64.0,64.5,221600.0
1999-11-19,64.47,64.88,63.88,64.13,140700.0
1999-11-22,63.88,65.13,62.75,65.0,154100.0
1999-11-23,64.81,64.81,62.5,62.63,125600.0
1999-11-24,62.63,65.38,62.63,63.75,158000.0
1999-11-26,63.63,64.0,63.38,63.38,13100.0
1999-11-29,63.5,65.0,63.5,64.25,359400.0
1999-11-30,63.88,64.75,62.88,63.19,60100.0
1999-12-01,63.75,64.13,62.69,64.13,47500.0
1999-12-02,64.38,68.25,64.0,67.75,203800.0
1999-12-03,67.0,69.88,66.75,68.0,155700.0
1999-12-06,69.0,74.0,69.0,73.25,147500.0
1999-12-07,73.0,82.38,72.5,81.88,161100.0
1999-12-08,82.25,97.5,78.88,84.63,221200.0
1999-12-09,84.5,87.13,77.75,79.5,100700.0
1999-12-10,79.75,84.5,78.5,79.38,118700.0
1999-12-13,78.5,79.75,73.0,73.5,68000.0
1999-12-14,73.25,74.75,65.25,68.0,168000.0
1999-12-15,68.13,68.25,64.75,65.63,171200.0
1999-12-16,66.63,70.38,65.75,70.13,79900.0
1999-12-17,69.94,70.0,65.38,68.0,214800.0
1999-12-20,67.0,71.38,67.0,69.75,54800.0
1999-12-21,69.5,78.31,69.5,76.88,45100.0
1999-12-22,77.88,86.5,77.0,83.19,172400.0
1999-12-23,83.0,93.19,83.0,88.5,190600.0
1999-12-27,87.75,90.25,87.75,88.5,242600.0
1999-12-28,88.5,89.25,88.0,88.5,24400.0
1999-12-29,88.38,90.38,88.38,89.31,103900.0
1999-12-30,88.88,93.0,88.88,92.81,61800.0
1999-12-31,91.31,94.0,91.0,92.0,111600.0
2000-01-03,92.0,92.0,92.0,92.0,327300.0
2000-01-04,86.25,86.25,77.0,77.56,74300.0
2000-01-05,79.0,83.5,77.0,83.25,79900.0
2000-01-06,81.0,86.5,80.31,84.5,377700.0
2000-01-07,84.88,88.25,84.13,87.0,248300.0
2000-01-10,89.0,96.5,89.0,96.5,78900.0
2000-01-11,94.63,95.88,92.5,93.13,159100.0
2000-01-12,92.25,93.13,88.5,91.0,119500.0
2000-01-13,90.25,93.0,89.0,92.5,29400.0
2000-01-14,91.25,92.88,90.5,90.75,119000.0
2000-01-18,90.5,90.5,87.63,89.13,112300.0
2000-01-19,87.63,89.5,86.75,87.0,45000.0
2000-01-20,88.13,88.5,86.5,86.5,68300.0
2000-01-21,86.81,87.38,85.63,85.75,39600.0
2000-01-24,85.5,86.75,78.0,80.0,62600.0
2000-01-25,78.75,85.0,78.75,81.06,112100.0
2000-01-26,80.5,83.5,80.25,81.25,213000.0
2000-01-27,82.0,83.0,80.63,81.38,24600.0
2000-01-28,81.38,82.5,79.75,80.0,36700.0
2000-01-31,80.38,80.38,76.5,76.5,54100.0
2000-02-01,77.5,77.88,74.0,74.0,46000.0
2000-02-02,73.75,76.13,71.0,75.0,175900.0
2000-02-03,75.56,76.13,74.0,75.56,173000.0
2000-02-04,75.88,77.0,75.06,76.13,153900.0
2000-02-07,76.88,77.0,73.5,74.75,75900.0
2000-02-08,79.13,91.38,79.0,88.0,390900.0
2000-02-09,88.13,90.5,87.25,87.63,150400.0
2000-02-10,88.0,88.0,83.5,86.0,115300.0
2000-02-11,86.13,86.25,82.94,83.0,143700.0
2000-02-14,83.0,87.88,81.0,87.75,147700.0
2000-02-15,88.0,89.5,84.88,85.13,98100.0
2000-02-16,85.0,88.13,84.38,85.63,84400.0
2000-02-17,85.5,87.75,79.94,80.5,45500.0
2000-02-18,81.0,81.31,79.06,79.06,39200.0
2000-02-22,79.0,79.75,76.31,76.5,95500.0
2000-02-23,76.13,77.5,74.75,75.25,132800.0
2000-02-24,76.25,76.25,65.0,65.13,269200.0
2000-02-25,65.0,66.0,63.5,63.75,617900.0
2000-02-28,63.44,63.75,62.5,62.5,417200.0
2000-02-29,63.0,68.25,62.0,65.75,143300.0
2000-03-01,65.88,72.0,65.75,68.88,116600.0
2000-03-02,69.5,73.56,68.25,70.88,148200.0
2000-03-03,70.31,70.44,66.0,68.75,2480400.0
2000-03-06,68.75,69.63,66.0,66.63,394000.0
2000-03-07,66.0,67.13,58.0,60.0,429100.0
2000-03-08,61.0,61.13,56.88,57.06,547800.0
2000-03-09,61.19,61.63,59.88,60.0,578000.0
2000-03-10,61.0,66.25,61.0,65.75,242600.0
2000-03-13,65.63,66.25,63.0,63.44,242600.0
2000-03-14,69.0,79.25,68.97,75.25,818000.0
2000-03-15,74.63,75.25,70.31,71.5,217300.0
2000-03-16,71.0,75.19,70.5,74.06,146500.0
2000-03-17,72.38,76.38,71.0,73.13,276100.0
2000-03-20,73.75,73.75,68.5,68.5,227100.0
2000-03-21,68.8,70.38,66.63,66.75,420700.0
2000-03-22,66.88,68.19,66.63,68.19,6092800.0
2000-03-23,68.03,68.03,61.0,63.38,613500.0
2000-03-24,62.25,63.94,58.38,58.38,423000.0
2000-03-27,61.25,63.0,59.25,62.63,371200.0
2000-03-28,61.63,62.63,57.5,58.75,106600.0
2000-03-29,59.06,63.19,59.06,63.19,102900.0
2000-03-30,62.63,65.75,62.63,64.25,136800.0
2000-03-31,65.75,68.0,63.75,66.63,167100.0
2000-04-03,66.44,70.0,66.38,66.5,150300.0
2000-04-04,67.31,67.31,58.25,62.63,256300.0
2000-04-05,62.81,63.0,58.75,60.31,165300.0
2000-04-06,61.0,69.0,60.0,66.25,168400.0
2000-04-07,68.0,69.0,63.63,64.25,146900.0
2000-04-10,65.63,65.63,60.25,62.13,69800.0
2000-04-11,62.06,62.06,58.75,59.75,69600.0
2000-04-12,61.0,61.88,59.0,59.0,25600.0
2000-04-13,61.0,61.0,55.5,55.56,114300.0
2000-04-14,55.06,55.13,49.56,50.5,149400.0
2000-04-17,50.13,51.88,43.0,48.56,120700.0
2000-04-18,49.47,54.06,49.0,53.5,269000.0
2000-04-19,53.19,63.0,51.5,60.13,152500.0
2000-04-20,60.13,64.13,56.13,56.13,63200.0
2000-04-24,56.98,60.0,53.13,58.13,52200.0
2000-04-25,59.25,59.25,53.25,53.75,38300.0
2000-04-26,56.13,56.13,47.63,47.63,196700.0
2000-04-27,48.0,63.0,46.88,63.0,238500.0
2000-04-28,61.0,63.75,57.0,58.0,112600.0
2000-05-01,59.13,69.0,57.94,65.88,142100.0
2000-05-02,65.88,70.25,65.75,68.88,146600.0
2000-05-03,68.94,69.06,66.88,67.25,156400.0
2000-05-04,68.0,70.48,67.56,67.75,218400.0
2000-05-05,67.75,69.94,62.5,68.0,164500.0
2000-05-08,66.94,70.0,63.81,64.31,69900.0
2000-05-09,65.75,67.25,57.0,58.5,216200.0
2000-05-10,58.0,61.94,58.0,60.25,86200.0
2000-05-11,61.69,65.13,61.69,64.75,223200.0
2000-05-12,63.75,71.25,63.75,69.38,166400.0
2000-05-15,69.25,73.19,69.25,73.19,85800.0
2000-05-16,72.53,81.63,72.09,80.56,325400.0
2000-05-17,80.23,81.75,77.13,80.38,126600.0
2000-05-18,78.25,79.94,73.81,74.0,90100.0
2000-05-19,73.13,74.0,67.81,69.94,116000.0
2000-05-22,72.0,74.0,67.88,70.19,85600.0
2000-05-23,70.19,70.25,67.0,67.19,58100.0
2000-05-24,67.75,69.44,65.56,69.44,63000.0
2000-05-25,69.44,72.06,65.06,65.88,87300.0
2000-05-26,65.13,67.92,65.06,67.0,41600.0
2000-05-30,66.5,70.38,66.5,69.94,60000.0
2000-05-31,69.94,70.88,69.75,70.5,8000.0
2000-06-01,72.0,72.0,69.38,71.13,20900.0
2000-06-02,71.5,71.75,69.0,71.75,58600.0
2000-06-05,70.63,72.81,69.06,72.75,84400.0
2000-06-06,72.5,75.25,67.0,67.88,41600.0
2000-06-07,23.63,28.63,23.38,26.38,249500.0
2000-06-08,26.75,26.75,23.63,25.13,195100.0
2000-06-09,25.88,25.88,24.13,25.0,74300.0
2000-06-12,25.25,25.5,24.25,24.31,24400.0
2000-06-13,22.88,24.75,21.25,24.5,180400.0
2000-06-14,24.75,25.25,21.0,21.75,132400.0
2000-06-15,22.5,25.88,22.19,24.88,238700.0
2000-06-16,25.44,25.44,22.88,23.19,135600.0
2000-06-19,23.13,23.13,21.88,22.25,129000.0
2000-06-20,22.25,22.63,21.0,21.5,273800.0
2000-06-21,20.94,23.5,20.94,22.63,43900.0
2000-06-22,23.31,23.5,20.0,20.0,108000.0
2000-06-23,20.78,21.25,20.0,20.44,118900.0
2000-06-26,21.25,23.25,20.63,23.19,336800.0
2000-06-27,23.5,23.56,22.63,23.06,264400.0
2000-06-28,23.0,23.13,22.5,23.0,238200.0
2000-06-29,23.13,26.5,22.88,24.25,321900.0
2000-06-30,24.31,32.0,24.25,29.56,1571400.0
2000-07-03,29.69,29.88,27.0,27.13,158200.0
2000-07-05,27.0,28.38,25.13,28.13,293600.0
