date,open,high,low,close,volume
2018-11-26,9.75,9.8,9.63,9.63,100700.0
2018-11-27,9.63,9.63,9.63,9.63,0.0
2018-11-28,9.63,9.63,9.63,9.63,10.0
2018-11-29,9.63,9.63,9.63,9.63,809.0
2018-11-30,9.6,9.63,9.6,9.63,590200.0
2018-12-03,9.63,9.63,9.63,9.63,1201.0
2018-12-04,9.6,9.705,9.6,9.63,120200.0
2018-12-06,9.75,9.88,9.61,9.63,279400.0
2018-12-07,9.63,9.63,9.63,9.63,815.0
2018-12-10,9.62,9.63,9.6,9.63,206400.0
2018-12-11,9.64,9.64,9.63,9.63,1040.0
2018-12-12,9.75,9.75,9.75,9.75,205.0
2018-12-13,9.63,9.63,9.63,9.63,451400.0
2018-12-14,9.64,9.69,9.64,9.65,13800.0
2018-12-17,9.57,9.65,9.57,9.6,599696.0
2018-12-18,9.66,9.66,9.57,9.57,5204.0
2018-12-19,9.57,9.57,9.55,9.55,9800.0
2018-12-20,9.55,9.55,9.55,9.55,0.0
2018-12-21,9.64,9.65,9.63,9.64,100366.0
2018-12-24,9.64,9.64,9.64,9.64,400.0
2018-12-26,9.64,9.64,9.64,9.64,140.0
2018-12-27,9.65,9.65,9.65,9.65,805.0
2018-12-28,9.6,9.65,9.6,9.65,451.0
2019-01-02,9.65,9.65,9.64,9.65,538.0
2019-01-03,9.63,9.63,9.63,9.63,1700.0
2019-01-04,9.64,9.64,9.64,9.64,1511.0
2019-01-07,9.64,9.64,9.64,9.64,1000.0
2019-01-08,9.63,9.63,9.63,9.63,186586.0
2019-01-09,9.63,9.63,9.63,9.63,0.0
2019-01-10,9.713,9.713,9.713,9.713,100.0
2019-01-11,9.71,9.71,9.7,9.7,593.0
2019-01-14,9.7,9.7,9.7,9.7,0.0
2019-01-15,9.7,9.7,9.7,9.7,100.0
2019-01-16,9.71,9.71,9.63,9.63,200.0
2019-01-17,9.7,9.7,9.7,9.7,150000.0
2019-01-18,9.73,9.78,9.73,9.75,78247.0
2019-01-22,9.77,9.7937,9.77,9.7937,100100.0
2019-01-23,9.799,9.8,9.78,9.78,2000.0
2019-01-24,9.77,9.77,9.7,9.7,1001.0
2019-01-25,9.7,9.7,9.7,9.7,0.0
2019-01-28,9.776,9.776,9.77,9.77,600.0
2019-01-29,9.77,9.77,9.77,9.77,1.0
2019-01-30,9.77,9.77,9.77,9.77,0.0
2019-01-31,9.77,9.77,9.77,9.77,1.0
2019-02-01,9.75,9.75,9.75,9.75,92400.0
2019-02-04,9.7,9.7,9.7,9.7,100.0
2019-02-05,9.75,9.75,9.75,9.75,225120.0
2019-02-06,9.8,9.8,9.75,9.8,17471.0
2019-02-07,9.793,9.793,9.793,9.793,101.0
2019-02-08,9.8,9.8,9.8,9.8,225528.0
2019-02-11,9.8,9.8,9.8,9.8,0.0
2019-02-12,9.8,9.8,9.8,9.8,0.0
2019-02-13,9.8,9.8,9.8,9.8,0.0
2019-02-14,9.75,9.75,9.75,9.75,135.0
2019-02-15,9.75,9.9,9.75,9.76,26008.0
2019-02-20,9.8,9.85,9.8,9.85,5100.0
2019-02-21,9.84,9.84,9.84,9.84,200.0
2019-02-22,9.85,9.85,9.85,9.85,403.0
2019-02-26,9.85,9.85,9.85,9.85,0.0
2019-02-27,9.85,9.85,9.85,9.85,1030.0
2019-02-28,9.85,9.85,9.85,9.85,42.0
2019-03-01,9.85,9.85,9.85,9.85,0.0
2019-03-04,9.85,9.85,9.85,9.85,113.0
2019-03-05,9.85,9.85,9.85,9.85,1.0
2019-03-06,9.85,9.85,9.85,9.85,0.0
2019-03-07,9.85,9.87,9.818,9.87,50200.0
2019-03-08,9.85,9.85,9.85,9.85,125113.0
2019-03-11,9.9,9.9,9.85,9.9,318500.0
2019-03-12,9.91,9.91,9.88,9.9,15481.0
2019-03-13,9.9,9.9,9.9,9.9,670.0
2019-03-14,9.87,9.95,9.86,9.95,91530.0
2019-03-15,9.9475,10.05,9.89,10.05,1990.0
2019-03-18,9.92,10.01,9.92,9.99,27187.0
2019-03-19,9.97,9.97,9.97,9.97,500.0
2019-03-20,9.97,9.97,9.97,9.97,200.0
2019-03-21,10.07,10.07,9.98,9.98,1577.0
2019-03-22,9.96,9.97,9.92,9.97,1200.0
2019-03-25,9.92,9.92,9.92,9.92,344.0
2019-03-26,9.9,9.93,9.9,9.93,1665.0
2019-03-27,9.93,9.93,9.93,9.93,0.0
2019-03-28,9.93,9.93,9.93,9.93,0.0
2019-03-29,9.93,9.96,9.91,9.94,155224.0
2019-04-01,9.91,9.93,9.91,9.93,605.0
2019-04-02,9.93,9.93,9.92,9.92,55194.0
2019-04-03,9.95,10.0,9.91,9.91,24564.0
2019-04-04,9.91,9.91,9.91,9.91,249196.0
