date,open,high,low,close,volume
1999-11-01,34.81,35.75,34.81,35.5,3200.0
1999-11-02,35.0,35.53,34.88,35.53,1200.0
1999-11-03,35.5,35.75,35.5,35.75,1000.0
1999-11-04,35.25,35.63,35.0,35.63,2800.0
1999-11-05,34.88,35.63,34.88,35.63,1800.0
1999-11-08,35.63,35.63,35.38,35.38,1400.0
1999-11-09,35.25,35.25,35.25,35.25,700.0
1999-11-10,35.25,35.25,35.25,35.25,0.0
1999-11-11,35.5,35.5,34.75,34.75,7000.0
1999-11-12,34.5,35.63,34.5,35.5,2900.0
1999-11-15,34.75,34.75,34.5,34.63,2600.0
1999-11-16,34.5,34.94,34.5,34.94,46300.0
1999-11-17,34.88,34.88,34.38,34.38,3000.0
1999-11-18,34.38,34.88,34.38,34.88,10400.0
1999-11-19,34.5,35.13,34.5,35.13,3100.0
1999-11-22,34.75,34.75,34.63,34.63,900.0
1999-11-23,35.25,35.38,34.63,35.38,4800.0
1999-11-24,35.38,35.5,34.88,34.88,3800.0
1999-11-26,34.88,34.88,34.88,34.88,0.0
1999-11-29,34.88,34.88,34.88,34.88,0.0
1999-11-30,34.63,34.63,34.63,34.63,1200.0
1999-12-01,34.62,34.62,34.62,34.62,0.0
1999-12-02,34.88,35.5,34.88,35.5,2400.0
1999-12-03,34.63,36.0,34.63,36.0,25500.0
1999-12-06,35.63,35.63,35.63,35.63,1200.0
1999-12-07,35.5,35.63,34.25,35.13,2200.0
1999-12-08,36.0,36.63,36.0,36.63,5700.0
1999-12-09,36.25,36.25,34.25,34.25,4400.0
1999-12-10,35.5,35.5,34.75,35.25,6100.0
1999-12-13,36.0,36.0,35.38,35.5,2700.0
1999-12-14,35.5,35.5,35.5,35.5,1900.0
1999-12-15,35.5,35.5,35.5,35.5,0.0
1999-12-16,35.94,36.0,35.0,35.5,1300.0
1999-12-17,36.13,36.13,35.63,36.13,2800.0
1999-12-20,36.0,36.0,34.94,35.94,33100.0
1999-12-21,35.13,35.13,35.13,35.13,500.0
1999-12-22,35.13,35.13,34.63,34.63,3000.0
1999-12-23,34.62,34.62,34.62,34.62,0.0
1999-12-27,35.75,35.75,35.75,35.75,300.0
1999-12-28,34.88,36.0,34.75,36.0,2700.0
1999-12-29,35.88,35.94,35.0,35.0,5700.0
1999-12-30,35.5,36.0,35.0,35.0,1800.0
1999-12-31,35.94,36.25,35.88,36.0,10000.0
2000-01-03,36.75,36.75,35.5,35.5,700.0
2000-01-04,36.0,36.0,34.5,35.03,3100.0
2000-01-05,35.75,36.0,35.63,36.0,1100.0
2000-01-06,35.75,36.0,35.75,36.0,900.0
2000-01-07,36.0,36.0,35.25,35.25,5100.0
2000-01-10,36.0,36.0,36.0,36.0,4500.0
2000-01-11,36.0,36.0,36.0,36.0,800.0
2000-01-12,36.75,37.0,36.25,37.0,2300.0
2000-01-13,36.25,37.0,36.25,37.0,1200.0
2000-01-14,37.0,37.0,36.25,36.25,1500.0
2000-01-18,36.25,36.25,36.25,36.25,1400.0
2000-01-19,36.25,39.25,36.25,39.25,7700.0
2000-01-20,39.13,39.13,37.5,37.5,1700.0
2000-01-21,36.91,38.0,36.91,38.0,1800.0
2000-01-24,38.0,38.0,36.5,36.75,8800.0
2000-01-25,37.25,37.25,37.25,37.25,600.0
2000-01-26,37.38,37.38,36.75,36.75,2000.0
2000-01-27,36.75,36.75,36.75,36.75,1600.0
2000-01-28,36.75,36.75,36.75,36.75,2500.0
2000-01-31,36.75,36.75,36.63,36.75,4500.0
