date,open,high,low,close,volume
2021-10-04,0.39,0.45,0.39,0.45,1407075.0
2021-10-05,0.42,0.43,0.36,0.4195,1394128.0
2021-10-06,0.41,0.41,0.36,0.4,368191.0
2021-10-07,0.4,0.4,0.4,0.4,25200.0
2021-10-08,0.4,0.4,0.3501,0.395,617448.0
2021-10-11,0.39,0.39,0.39,0.39,300.0
2021-10-12,0.4,0.4099,0.3925,0.3999,522178.0
2021-10-13,0.4,0.4,0.4,0.4,8097.0
2021-10-14,0.4,0.4009,0.375,0.3751,233927.0
2021-10-15,0.3799,0.38,0.353,0.37,85229.0
2021-10-18,0.365,0.37,0.36,0.37,68196.0
2021-10-19,0.3675,0.3721,0.3675,0.3721,111668.0
2021-10-20,0.3749,0.375,0.3651,0.3651,96771.0
2021-10-21,0.38,0.43,0.38,0.4,178062.0
2021-10-22,0.4,0.4199,0.4,0.4175,256570.0
2021-10-25,0.44,0.44,0.4,0.42,195391.0
2021-10-26,0.43,0.45,0.4295,0.435,166432.0
2021-10-27,0.44,0.45,0.44,0.4479,102747.0
2021-10-28,0.4401,0.46,0.435,0.46,116491.0
2021-10-29,0.4512,0.46,0.448,0.46,30809.0
2021-11-01,0.46,0.47,0.452,0.462,125560.0
2021-11-02,0.46,0.47,0.46,0.465,118090.0
2021-11-03,0.4689,0.49,0.465,0.48,249944.0
2021-11-04,0.49,0.49,0.4713,0.48,55671.0
2021-11-05,0.48,0.4998,0.48,0.493,145239.0
2021-11-08,0.4999,0.5,0.4862,0.49,151596.0
2021-11-09,0.49,0.5,0.485,0.49,102558.0
2021-11-10,0.48,0.49,0.48,0.49,33017.0
2021-11-11,0.4995,0.4995,0.4739,0.4739,58326.0
2021-11-12,0.4751,0.4963,0.4703,0.493,142841.0
2021-11-15,0.4801,0.4967,0.4801,0.4967,6490.0
2021-11-16,0.4947,0.5,0.48,0.5,58270.0
2021-11-17,0.5,0.51,0.5,0.51,50672.0
2021-11-18,0.51,0.51,0.5002,0.51,8600.0
2021-11-19,0.51,0.51,0.49,0.51,46120.0
2021-11-22,0.51,0.51,0.49,0.51,7702.0
2021-11-23,0.51,0.52,0.494,0.52,10694.0
2021-11-24,0.52,0.52,0.5168,0.5168,3320.0
2021-11-26,0.4901,0.4902,0.49,0.4902,3392.0
2021-11-29,0.52,0.52,0.49,0.5198,16261.0
2021-11-30,0.52,0.52,0.4803,0.49,39068.0
2021-12-01,0.52,0.52,0.4804,0.4999,6100.0
2021-12-02,0.5,0.5,0.482,0.4999,19150.0
2021-12-03,0.4801,0.4999,0.48,0.4999,60873.0
2021-12-06,0.48,0.4998,0.47,0.47,69052.0
2021-12-07,0.48,0.4897,0.48,0.48,28727.0
2021-12-08,0.471,0.4949,0.47,0.4752,15267.0
2021-12-09,0.471,0.48,0.47,0.4711,24825.0
2021-12-10,0.46,0.465,0.4499,0.4499,74503.0
2021-12-13,0.4401,0.444,0.42,0.4251,27573.0
2021-12-14,0.42,0.42,0.41,0.4198,33217.0
2021-12-15,0.42,0.43,0.42,0.42,5000.0
2021-12-16,0.43,0.43,0.42,0.4299,17653.0
2021-12-17,0.4101,0.4299,0.41,0.4299,2096.0
2021-12-20,0.4161,0.4201,0.416,0.4201,551.0
2021-12-21,0.4139,0.4279,0.4,0.4258,35199.0
2021-12-22,0.4012,0.4144,0.4,0.41,212700.0
2021-12-23,0.4,0.4297,0.4,0.4297,300.0
2021-12-27,0.43,0.435,0.4299,0.435,9100.0
2021-12-28,0.41,0.43,0.41,0.43,35747.0
2021-12-29,0.4,0.42,0.4,0.42,28050.0
2021-12-30,0.419,0.42,0.419,0.42,3000.0
2021-12-31,0.4149,0.4299,0.4,0.4201,4330.0
2022-01-03,0.4201,0.4201,0.4201,0.4201,0.0
2022-01-04,0.4059,0.4164,0.4059,0.4164,1450.0
2022-01-05,0.4164,0.4164,0.4164,0.4164,0.0
2022-01-06,0.4005,0.4005,0.4005,0.4005,100.0
2022-01-07,0.41,0.41,0.3802,0.3999,16900.0
2022-01-10,0.39,0.39,0.3799,0.38,11060.0
2022-01-11,0.38,0.3838,0.3699,0.37,15000.0
2022-01-12,0.3701,0.39,0.3701,0.39,1566.0
2022-01-13,0.3602,0.38,0.36,0.38,15400.0
2022-01-14,0.36,0.37,0.36,0.36,8966.0
2022-01-18,0.3502,0.3502,0.3302,0.345,54262.0
2022-01-19,0.34,0.34,0.3301,0.3301,400.0
2022-01-20,0.33,0.3301,0.33,0.3301,3000.0
2022-01-21,0.33,0.3301,0.2542,0.32,176993.0
2022-01-24,0.2969,0.3599,0.2969,0.35,10510.0
2022-01-25,0.3499,0.3499,0.3499,0.3499,300.0
2022-01-26,0.338,0.338,0.3253,0.33,4200.0
2022-01-27,0.3499,0.3499,0.28,0.2901,42665.0
2022-01-28,0.2742,0.29,0.27,0.29,334409.0
2022-01-31,0.2701,0.2899,0.2523,0.2899,55620.0
2022-02-01,0.27,0.27,0.27,0.27,1401.0
2022-02-02,0.27,0.2899,0.2647,0.2898,96655.0
2022-02-03,0.2702,0.29,0.2621,0.2621,52778.0
2022-02-04,0.2621,0.2621,0.2621,0.2621,0.0
2022-02-07,0.2621,0.2621,0.2621,0.2621,973.0
2022-02-08,0.2621,0.2903,0.25,0.28,100188.0
2022-02-09,0.2657,0.295,0.2511,0.28,17836.0
2022-02-10,0.28,0.28,0.28,0.28,0.0
2022-02-11,0.2799,0.2799,0.2799,0.2799,500.0
2022-02-14,0.2651,0.27,0.2651,0.27,8000.0
2022-02-15,0.2799,0.2799,0.2799,0.2799,500.0
2022-02-16,0.27,0.27,0.2512,0.26,104056.0
2022-02-17,0.26,0.26,0.26,0.26,0.0
2022-02-18,0.26,0.26,0.26,0.26,300.0
2022-02-22,0.26,0.26,0.26,0.26,400.0
2022-02-23,0.2699,0.27,0.26,0.26,4411.0
2022-02-24,0.2499,0.2499,0.2499,0.2499,600.0
2022-02-25,0.25,0.25,0.25,0.25,200.0
2022-02-28,0.2499,0.2499,0.2499,0.2499,600.0
2022-03-01,0.2103,0.24,0.2103,0.2357,4955.0
2022-03-02,0.21,0.235,0.1655,0.2183,6110.0
2022-03-03,0.2183,0.2183,0.2183,0.2183,0.0
2022-03-04,0.2299,0.2299,0.2299,0.2299,600.0
2022-03-07,0.2279,0.2279,0.178,0.2279,500.0
