date,open,high,low,close,volume
2012-02-24,20.0,20.0,19.9,19.99,812300.0
2012-02-27,20.04,20.04,19.95,20.0,86700.0
2012-02-28,20.05,20.05,19.95,20.02,46000.0
2012-02-29,19.95,20.01,19.95,20.0,52938.0
2012-03-01,19.95,20.0,19.95,20.0,37000.0
2012-03-02,19.96,19.97,19.95,19.95,2000.0
2012-03-05,19.95,20.01,19.95,20.0,34400.0
2012-03-06,19.99,20.01,19.99,20.01,11900.0
2012-03-07,19.95,20.0,19.95,20.0,6800.0
2012-03-08,20.05,20.05,19.98,20.0,1700.0
2012-03-09,19.98,20.0,19.95,20.0,11100.0
2012-03-12,20.0,20.01,20.0,20.01,3200.0
2012-03-13,20.01,20.01,20.0,20.01,5100.0
2012-03-14,20.0,20.01,20.0,20.0,7200.0
2012-03-15,20.0,20.01,20.0,20.01,6300.0
2012-03-16,20.0,20.05,20.0,20.01,6200.0
2012-03-19,20.0,20.01,20.0,20.0,4500.0
2012-03-20,20.0,20.01,20.0,20.01,7100.0
2012-03-21,20.01,20.05,20.0,20.02,7700.0
2012-03-22,20.05,20.19,20.01,20.05,16700.0
2012-03-23,20.05,20.1,20.01,20.01,5600.0
2012-03-26,20.01,20.05,20.0,20.02,7700.0
2012-03-27,20.02,20.05,20.02,20.05,4200.0
2012-03-28,20.09,20.09,20.0,20.0,56500.0
2012-03-29,20.0,20.01,19.95,20.0,89000.0
2012-03-30,20.0,20.05,20.0,20.05,55300.0
2012-04-02,20.0,20.05,20.0,20.05,39700.0
2012-04-03,20.25,20.25,19.94,20.0,152500.0
2012-04-04,19.95,20.01,19.94,19.95,87400.0
2012-04-05,20.05,20.05,19.95,19.95,46200.0
2012-04-09,19.9,19.9,19.0,19.23,77600.0
2012-04-10,19.35,19.5,19.25,19.29,22000.0
2012-04-11,19.43,19.43,19.15,19.29,12900.0
2012-04-12,19.3,19.45,19.15,19.28,15900.0
2012-04-13,19.33,19.76,19.18,19.35,6600.0
2012-04-16,19.5,19.9,18.91,19.06,29200.0
2012-04-17,19.8,19.8,18.26,18.55,84400.0
2012-04-18,18.62,18.75,18.25,18.75,44600.0
2012-04-19,18.85,19.19,18.85,19.1,12700.0
2012-04-20,18.99,19.01,18.7,18.9,25800.0
2012-04-23,18.75,18.82,18.25,18.45,29100.0
2012-04-24,18.06,18.9,18.06,18.57,58600.0
2012-04-25,18.63,18.8,18.3,18.45,50700.0
2012-04-26,18.49,18.49,18.2,18.29,28200.0
2012-04-27,18.31,18.63,18.31,18.52,17600.0
2012-04-30,18.34,18.84,18.34,18.66,40000.0
2012-05-01,18.75,18.8,18.51,18.76,30000.0
2012-05-02,18.74,19.07,18.58,18.75,25000.0
2012-05-03,18.87,19.14,18.75,19.0,31000.0
2012-05-04,19.19,19.2,18.9,19.1,21100.0
2012-05-07,18.92,19.21,18.9,19.03,15000.0
2012-05-08,19.17,19.17,18.9,19.04,9100.0
2012-05-09,19.05,19.07,18.68,18.83,5200.0
2012-05-10,19.02,19.15,18.65,18.74,13700.0
2012-05-11,18.63,18.94,18.63,18.76,10000.0
2012-05-14,18.63,19.12,18.4,19.1,41900.0
2012-05-15,18.77,18.98,18.38,18.48,27000.0
2012-05-16,18.24,18.61,18.2,18.61,17100.0
2012-05-17,18.4,18.5,18.25,18.25,44900.0
2012-05-18,18.15,18.23,17.88,18.03,28700.0
2012-05-21,17.89,18.14,17.88,17.9,24200.0
2012-05-22,18.14,18.27,17.73,17.73,28300.0
